Generación,Fitness Promedio,Mejor Fitness
25,405.0000,0.00,0,17
Generación,Mejor Fitness,Mejora (%),Goles a Favor,Goles en Contra
1,280.0000,0.00,0,22
2,970.0000,246.43,0,1
3,970.0000,0.00,0,1
4,970.0000,0.00,0,1
5,970.0000,0.00,0,1
6,970.0000,0.00,0,1
7,970.0000,0.00,0,1
8,970.0000,0.00,0,1
9,970.0000,0.00,0,1
10,970.0000,0.00,0,34
11,970.0000,0.00,0,1
12,970.0000,0.00,0,1
13,970.0000,0.00,0,1
14,970.0000,0.00,0,1
15,970.0000,0.00,0,1
16,970.0000,0.00,0,1
17,970.0000,0.00,0,1
18,970.0000,0.00,0,1
Generación,Mejor Fitness,Mejora (%),Goles a Favor,Goles en Contra
1,495.0000,0.00,0,19
2,495.0000,0.00,0,19
3,495.0000,0.00,0,19
4,495.0000,0.00,0,19
5,495.0000,0.00,0,19
6,530.0000,7.07,0,18
7,530.0000,0.00,0,18
8,530.0000,0.00,0,18
9,530.0000,0.00,0,18
10,530.0000,0.00,0,18
11,530.0000,0.00,0,18
12,565.0000,6.60,0,17
13,565.0000,0.00,0,17
14,565.0000,0.00,0,17
15,565.0000,0.00,0,17
16,565.0000,0.00,0,17
17,565.0000,0.00,0,17
18,565.0000,0.00,0,17
19,565.0000,0.00,0,17
20,565.0000,0.00,0,17
21,565.0000,0.00,0,17
22,565.0000,0.00,0,17
23,565.0000,0.00,0,17
24,565.0000,0.00,0,17
25,565.0000,0.00,0,17
Generación,Mejor Fitness,Mejora (%),Goles a Favor,Goles en Contra
1,355.0000,0.00,0,23
2,390.0000,9.86,0,22
3,530.0000,35.90,0,18
Generación,Mejor Fitness,Promedio Fitness,Desviación Estándar,Tasa Éxito Cruces
1,495.0000,226.5000,158.1242,100.00
2,530.0000,268.5000,156.2986,100.00
3,530.0000,306.3000,176.7903,100.00
4,530.0000,314.8000,185.7093,100.00
5,565.0000,345.6000,173.8782,100.00
6,565.0000,316.3000,202.0094,100.00
7,565.0000,271.7000,214.0972,100.00
8,565.0000,316.8000,207.6506,100.00
9,565.0000,352.7000,200.3602,100.00
10,565.0000,351.8000,215.3619,100.00
11,565.0000,340.1000,222.8867,100.00
12,565.0000,328.2000,221.8260,100.00
13,565.0000,334.8000,234.6102,100.00
14,565.0000,321.9000,198.8565,100.00
15,565.0000,324.6000,220.2450,100.00
16,565.0000,422.1000,187.1179,100.00
17,565.0000,341.4000,202.7635,100.00
18,565.0000,340.8000,217.3117,100.00
19,565.0000,352.8000,211.2609,100.00
20,565.0000,332.0000,217.2073,100.00
21,565.0000,304.6000,201.0792,100.00
22,565.0000,361.9000,180.1691,100.00
23,565.0000,315.9000,217.7813,100.00
24,565.0000,363.3000,196.8771,100.00
Generación,Mejor Fitness,Promedio Fitness,Desviación Estándar,Porcentaje Mejora
1,600.0000,289.0000,154.4733,0.00
2,600.0000,309.3000,167.8184,0.00
3,600.0000,350.7000,150.1433,0.00
4,530.0000,340.1000,175.1185,-11.67
5,530.0000,349.2000,147.0794,0.00
