Generación,Mejor Fitness Generación,Fitness Global,Fitness Promedio,Diversidad,Peor Fitness,CPU (%),Memoria (%),Tiempo (s),Goles Favor,Goles Contra,OS,OS Version,Java Version,OS Arquitectura,CPUs (configurados),Population Size,Mutation Rate,Crossover Rate
1,31964.00,31964.00,27400.35,11.26,23438.50,79.64,85.537,2.656,0,24,Mac OS X,15.4,17.0.8.1,aarch64,8,10,0.40,0.80
2,33468.50,33468.50,28303.05,10.32,23438.50,41.88,85.295,4.775,0,21,Mac OS X,15.4,17.0.8.1,aarch64,8,10,0.40,0.80
3,33468.50,33468.50,29406.35,11.20,23438.50,55.94,84.606,6.310,0,21,Mac OS X,15.4,17.0.8.1,aarch64,8,10,0.40,0.80
4,33468.50,33468.50,30961.00,10.35,22435.50,41.92,84.151,7.968,0,21,Mac OS X,15.4,17.0.8.1,aarch64,8,10,0.40,0.80
5,33468.50,33468.50,29356.20,10.85,10901.00,43.92,83.038,9.469,0,21,Mac OS X,15.4,17.0.8.1,aarch64,8,10,0.40,0.80
6,33468.50,33468.50,30609.95,9.91,22937.00,34.87,83.758,11.029,0,21,Mac OS X,15.4,17.0.8.1,aarch64,8,10,0.40,0.80
7,36979.00,36979.00,29757.40,10.42,21432.50,39.58,84.437,13.005,0,14,Mac OS X,15.4,17.0.8.1,aarch64,8,10,0.40,0.80
8,36979.00,36979.00,26798.55,11.18,9898.00,45.31,85.191,14.548,0,14,Mac OS X,15.4,17.0.8.1,aarch64,8,10,0.40,0.80
9,36979.00,36979.00,30559.80,9.50,23940.00,53.78,85.508,16.301,0,14,Mac OS X,15.4,17.0.8.1,aarch64,8,10,0.40,0.80
10,36979.00,36979.00,30108.45,11.20,22435.50,36.40,84.823,18.193,0,14,Mac OS X,15.4,17.0.8.1,aarch64,8,10,0.40,0.80
11,34471.50,36979.00,30309.05,11.17,21432.50,39.17,85.213,19.691,0,14,Mac OS X,15.4,17.0.8.1,aarch64,8,10,0.40,0.80
12,34471.50,36979.00,29907.85,12.01,23438.50,27.93,85.431,21.308,0,14,Mac OS X,15.4,17.0.8.1,aarch64,8,10,0.40,0.80
13,35976.00,36979.00,29907.85,12.55,23940.00,25.60,85.038,22.843,0,14,Mac OS X,15.4,17.0.8.1,aarch64,8,10,0.40,0.80
14,35976.00,36979.00,27701.25,12.67,12907.00,29.97,85.482,24.345,0,14,Mac OS X,15.4,17.0.8.1,aarch64,8,10,0.40,0.80
15,35976.00,36979.00,29807.55,12.29,23438.50,23.31,85.257,25.917,0,14,Mac OS X,15.4,17.0.8.1,aarch64,8,10,0.40,0.80
16,34973.00,36979.00,29807.55,12.60,22937.00,19.30,84.948,27.433,0,14,Mac OS X,15.4,17.0.8.1,aarch64,8,10,0.40,0.80
17,36477.50,36979.00,24591.95,12.09,4381.50,35.27,85.558,28.947,0,14,Mac OS X,15.4,17.0.8.1,aarch64,8,10,0.40,0.80
18,36477.50,36979.00,30559.80,12.52,21432.50,73.29,85.741,30.490,0,14,Mac OS X,15.4,17.0.8.1,aarch64,8,10,0.40,0.80
19,36477.50,36979.00,27550.80,12.63,13910.00,25.73,84.810,32.095,0,14,Mac OS X,15.4,17.0.8.1,aarch64,8,10,0.40,0.80
