Generación,Fitness Promedio,Mejor Fitness,Goles Favor,Goles Contra,Diferencia de Goles
1,652.00,895.00,4,18,-14
2,651.50,850.00,0,23,-23
3,676.50,825.00,0,14,-14
4,668.00,930.00,0,11,-11
5,761.50,825.00,0,6,-6
6,699.00,825.00,0,9,-9
7,721.50,825.00,0,7,-7
8,715.50,825.00,0,12,-12
9,743.00,850.00,0,7,-7
10,705.00,775.00,0,8,-8
11,690.00,775.00,0,16,-16
12,680.00,775.00,0,13,-13
13,665.00,800.00,0,18,-18
14,700.00,750.00,0,10,-10
15,621.50,750.00,0,14,-14
16,641.50,750.00,0,15,-15
17,613.50,840.00,0,14,-14
18,643.00,850.00,0,16,-16
19,684.00,850.00,0,17,-17
20,742.50,900.00,0,15,-15
21,705.50,850.00,0,11,-11
22,721.00,850.00,0,8,-8
23,711.00,865.00,1,6,-5
24,675.50,865.00,0,15,-15
25,699.00,900.00,0,11,-11
26,670.50,850.00,0,18,-18
27,721.50,825.00,0,6,-6
28,747.00,890.00,1,20,-19
29,750.50,875.00,0,14,-14
30,652.50,800.00,0,12,-12
31,728.50,825.00,0,8,-8
32,749.00,900.00,0,7,-7
33,667.50,850.00,0,15,-15
34,735.00,865.00,0,6,-6
35,747.00,965.00,0,11,-11
36,756.50,965.00,1,2,-1
37,754.00,965.00,0,9,-9
38,752.50,965.00,2,13,-11
39,741.50,840.00,1,9,-8
40,741.50,840.00,1,12,-11
41,650.50,915.00,0,14,-14
42,784.00,915.00,1,10,-9
43,679.50,915.00,0,6,-6
44,697.50,900.00,0,11,-11
45,782.00,915.00,1,4,-3
46,715.50,915.00,1,17,-16
47,659.00,825.00,0,6,-6
48,688.50,800.00,0,11,-11
49,711.50,830.00,0,8,-8
50,686.00,830.00,0,17,-17
51,714.00,815.00,0,12,-12
52,651.50,790.00,0,11,-11
53,680.50,750.00,0,9,-9
54,687.50,815.00,0,11,-11
55,670.50,815.00,0,18,-18
56,674.00,825.00,0,14,-14
57,736.50,800.00,0,10,-10
58,745.50,875.00,0,7,-7
59,643.00,825.00,0,18,-18
60,664.50,915.00,0,23,-23
61,619.00,805.00,0,14,-14
62,698.50,825.00,0,5,-5
63,732.50,875.00,0,11,-11
64,647.50,850.00,0,17,-17
65,659.00,850.00,1,16,-15
66,622.50,850.00,0,16,-16
67,656.00,765.00,0,14,-14
68,552.50,715.00,0,18,-18
69,613.50,725.00,0,17,-17
70,666.00,765.00,1,11,-10
71,705.00,815.00,1,12,-11
72,691.50,880.00,2,6,-4
73,667.50,815.00,1,13,-12
74,738.00,825.00,0,11,-11
75,723.50,840.00,1,7,-6
76,738.00,890.00,0,18,-18
77,748.00,900.00,0,2,-2
78,706.00,955.00,0,13,-13
79,682.00,850.00,1,11,-10
80,677.50,890.00,0,28,-28
81,755.50,905.00,5,11,-6
82,744.00,905.00,1,11,-10
83,789.50,880.00,2,11,-9
84,693.50,880.00,0,10,-10
85,684.50,1040.00,0,13,-13
86,627.50,850.00,3,10,-7
87,689.00,850.00,1,14,-13
88,754.00,915.00,2,10,-8
89,784.00,875.00,0,11,-11
90,754.00,850.00,0,13,-13
91,769.50,850.00,0,4,-4
92,751.50,840.00,0,15,-15
93,755.50,890.00,0,5,-5
94,733.00,990.00,0,5,-5
95,687.00,915.00,0,7,-7
96,662.00,865.00,2,9,-7
97,690.00,925.00,0,23,-23
98,730.00,850.00,0,6,-6
99,755.00,825.00,0,7,-7
100,706.50,940.00,0,4,-4
