Generación,Mejor Fitness,Fitness Promedio,Diversidad,Peor Fitness,Mejor Cromosoma
1,60174.49,55650.05,0.75,45074.76,[[[5.074925508223806],[4.543159178558996],[5.153624354762493],[6.421649439001877],[7.807239619868087],[6.110409975214344],[4.647005664030321],[0.7896904603150734],[6.527509524247199],[4.675879438818357],[8.688398933767237],[1.9048988116825327],[6.403128662541445],[2.1530251725465166],[3.675372448386489],[6.572096193503625],[8.206498904071774],[9.4356122831589],[6.500717420758488],[4.655287850382885],[8.292654771633382],[2.2953850467944212],[2.578103835617486],[8.238423798466725],[8.64229003144018],[7.345297373862497],[1.1272554816361458],[9.879834989809071],[9.470010292893532],[0.7680189535476178],[2.954359248786048],[9.174147212807725],[5.273971081204597],[2.442666056642575],[9.405793189635329],[4.743624930710252],[2.1620191679344214],[4.221311319187371],[3.7262059474075384],[1.6964957350899146],[6.936130219205216],[0.4436707604609713],[8.561380109717575],[3.617517006984532],[2.1297715807447535],[2.796746717534131],[0.15108593791554048],[0.965500948357898],[9.911483481667977],[9.14504968573339],[8.849679639408116],[9.950855531059242],[6.79686709845161],[1.5510723354964029]]]
2,64583.30,58089.69,0.50,48363.75,[[[6.52871983195652],[4.191573563284244],[8.679880673865622],[6.421649439001877],[4.160696631370016],[1.5024934366515075],[1.1266575895913655],[0.7896904603150734],[6.527509524247199],[8.55902166641713],[8.688398933767237],[1.4283954599766657],[6.433651456418613],[0.7495064196173173],[3.675372448386489],[6.572096193503625],[8.206498904071774],[9.4356122831589],[6.500717420758488],[4.655287850382885],[8.292654771633382],[2.2953850467944212],[2.578103835617486],[8.238423798466725],[8.64229003144018],[7.345297373862497],[1.1272554816361458],[9.879834989809071],[9.470010292893532],[0.7680189535476178],[2.954359248786048],[9.174147212807725],[5.273971081204597],[2.442666056642575],[9.405793189635329],[4.743624930710252],[2.1620191679344214],[4.221311319187371],[3.7262059474075384],[1.6964957350899146],[6.936130219205216],[0.4436707604609713],[8.561380109717575],[3.617517006984532],[2.1297715807447535],[2.796746717534131],[0.15108593791554048],[0.965500948357898],[9.911483481667977],[9.14504968573339],[8.849679639408116],[9.950855531059242],[6.79686709845161],[1.5510723354964029]]]
3,64583.30,59249.50,0.75,53054.53,[[[6.52871983195652],[4.191573563284244],[8.679880673865622],[6.421649439001877],[4.160696631370016],[1.5024934366515075],[1.1266575895913655],[0.7896904603150734],[6.527509524247199],[8.55902166641713],[8.688398933767237],[1.4283954599766657],[6.433651456418613],[0.7495064196173173],[3.675372448386489],[6.572096193503625],[8.206498904071774],[9.4356122831589],[6.500717420758488],[4.655287850382885],[8.292654771633382],[2.2953850467944212],[2.578103835617486],[8.238423798466725],[8.64229003144018],[7.345297373862497],[1.1272554816361458],[9.879834989809071],[9.470010292893532],[0.7680189535476178],[2.954359248786048],[9.174147212807725],[5.273971081204597],[2.442666056642575],[9.405793189635329],[4.743624930710252],[2.1620191679344214],[4.221311319187371],[3.7262059474075384],[1.6964957350899146],[6.936130219205216],[0.4436707604609713],[8.561380109717575],[3.617517006984532],[2.1297715807447535],[2.796746717534131],[0.15108593791554048],[0.965500948357898],[9.911483481667977],[9.14504968573339],[8.849679639408116],[9.950855531059242],[6.79686709845161],[1.5510723354964029]]]
4,64583.30,57393.99,0.90,48363.75,[[[6.52871983195652],[4.191573563284244],[8.679880673865622],[6.421649439001877],[4.160696631370016],[1.5024934366515075],[1.1266575895913655],[0.7896904603150734],[6.527509524247199],[8.55902166641713],[8.688398933767237],[1.4283954599766657],[6.433651456418613],[0.7495064196173173],[3.675372448386489],[6.572096193503625],[8.206498904071774],[9.4356122831589],[6.500717420758488],[4.655287850382885],[8.292654771633382],[2.2953850467944212],[2.578103835617486],[8.238423798466725],[8.64229003144018],[7.345297373862497],[1.1272554816361458],[9.879834989809071],[9.470010292893532],[0.7680189535476178],[2.954359248786048],[9.174147212807725],[5.273971081204597],[2.442666056642575],[9.405793189635329],[4.743624930710252],[2.1620191679344214],[4.221311319187371],[3.7262059474075384],[1.6964957350899146],[6.936130219205216],[0.4436707604609713],[8.561380109717575],[3.617517006984532],[2.1297715807447535],[2.796746717534131],[0.15108593791554048],[0.965500948357898],[9.911483481667977],[9.14504968573339],[8.849679639408116],[9.950855531059242],[6.79686709845161],[1.5510723354964029]]]
5,64583.30,58447.24,0.75,40790.24,[[[6.52871983195652],[4.191573563284244],[8.679880673865622],[6.421649439001877],[4.160696631370016],[1.5024934366515075],[1.1266575895913655],[0.7896904603150734],[6.527509524247199],[8.55902166641713],[8.688398933767237],[1.4283954599766657],[6.433651456418613],[0.7495064196173173],[3.675372448386489],[6.572096193503625],[8.206498904071774],[9.4356122831589],[6.500717420758488],[4.655287850382885],[8.292654771633382],[2.2953850467944212],[2.578103835617486],[8.238423798466725],[8.64229003144018],[7.345297373862497],[1.1272554816361458],[9.879834989809071],[9.470010292893532],[0.7680189535476178],[2.954359248786048],[9.174147212807725],[5.273971081204597],[2.442666056642575],[9.405793189635329],[4.743624930710252],[2.1620191679344214],[4.221311319187371],[3.7262059474075384],[1.6964957350899146],[6.936130219205216],[0.4436707604609713],[8.561380109717575],[3.617517006984532],[2.1297715807447535],[2.796746717534131],[0.15108593791554048],[0.965500948357898],[9.911483481667977],[9.14504968573339],[8.849679639408116],[9.950855531059242],[6.79686709845161],[1.5510723354964029]]]
6,64583.30,58812.39,0.80,45908.78,[[[6.52871983195652],[4.191573563284244],[8.679880673865622],[6.421649439001877],[4.160696631370016],[1.5024934366515075],[1.1266575895913655],[0.7896904603150734],[6.527509524247199],[8.55902166641713],[8.688398933767237],[1.4283954599766657],[6.433651456418613],[0.7495064196173173],[3.675372448386489],[6.572096193503625],[8.206498904071774],[9.4356122831589],[6.500717420758488],[4.655287850382885],[8.292654771633382],[2.2953850467944212],[2.578103835617486],[8.238423798466725],[8.64229003144018],[7.345297373862497],[1.1272554816361458],[9.879834989809071],[9.470010292893532],[0.7680189535476178],[2.954359248786048],[9.174147212807725],[5.273971081204597],[2.442666056642575],[9.405793189635329],[4.743624930710252],[2.1620191679344214],[4.221311319187371],[3.7262059474075384],[1.6964957350899146],[6.936130219205216],[0.4436707604609713],[8.561380109717575],[3.617517006984532],[2.1297715807447535],[2.796746717534131],[0.15108593791554048],[0.965500948357898],[9.911483481667977],[9.14504968573339],[8.849679639408116],[9.950855531059242],[6.79686709845161],[1.5510723354964029]]]
7,64583.30,58049.96,0.80,44233.02,[[[6.52871983195652],[4.191573563284244],[8.679880673865622],[6.421649439001877],[4.160696631370016],[1.5024934366515075],[1.1266575895913655],[0.7896904603150734],[6.527509524247199],[8.55902166641713],[8.688398933767237],[1.4283954599766657],[6.433651456418613],[0.7495064196173173],[3.675372448386489],[6.572096193503625],[8.206498904071774],[9.4356122831589],[6.500717420758488],[4.655287850382885],[8.292654771633382],[2.2953850467944212],[2.578103835617486],[8.238423798466725],[8.64229003144018],[7.345297373862497],[1.1272554816361458],[9.879834989809071],[9.470010292893532],[0.7680189535476178],[2.954359248786048],[9.174147212807725],[5.273971081204597],[2.442666056642575],[9.405793189635329],[4.743624930710252],[2.1620191679344214],[4.221311319187371],[3.7262059474075384],[1.6964957350899146],[6.936130219205216],[0.4436707604609713],[8.561380109717575],[3.617517006984532],[2.1297715807447535],[2.796746717534131],[0.15108593791554048],[0.965500948357898],[9.911483481667977],[9.14504968573339],[8.849679639408116],[9.950855531059242],[6.79686709845161],[1.5510723354964029]]]
8,64583.30,59963.35,0.70,51524.21,[[[6.52871983195652],[4.191573563284244],[8.679880673865622],[6.421649439001877],[4.160696631370016],[1.5024934366515075],[1.1266575895913655],[0.7896904603150734],[6.527509524247199],[8.55902166641713],[8.688398933767237],[1.4283954599766657],[6.433651456418613],[0.7495064196173173],[3.675372448386489],[6.572096193503625],[8.206498904071774],[9.4356122831589],[6.500717420758488],[4.655287850382885],[8.292654771633382],[2.2953850467944212],[2.578103835617486],[8.238423798466725],[8.64229003144018],[7.345297373862497],[1.1272554816361458],[9.879834989809071],[9.470010292893532],[0.7680189535476178],[2.954359248786048],[9.174147212807725],[5.273971081204597],[2.442666056642575],[9.405793189635329],[4.743624930710252],[2.1620191679344214],[4.221311319187371],[3.7262059474075384],[1.6964957350899146],[6.936130219205216],[0.4436707604609713],[8.561380109717575],[3.617517006984532],[2.1297715807447535],[2.796746717534131],[0.15108593791554048],[0.965500948357898],[9.911483481667977],[9.14504968573339],[8.849679639408116],[9.950855531059242],[6.79686709845161],[1.5510723354964029]]]
9,64583.30,58952.95,0.65,45074.76,[[[6.52871983195652],[4.191573563284244],[8.679880673865622],[6.421649439001877],[4.160696631370016],[1.5024934366515075],[1.1266575895913655],[0.7896904603150734],[6.527509524247199],[8.55902166641713],[8.688398933767237],[1.4283954599766657],[6.433651456418613],[0.7495064196173173],[3.675372448386489],[6.572096193503625],[8.206498904071774],[9.4356122831589],[6.500717420758488],[4.655287850382885],[8.292654771633382],[2.2953850467944212],[2.578103835617486],[8.238423798466725],[8.64229003144018],[7.345297373862497],[1.1272554816361458],[9.879834989809071],[9.470010292893532],[0.7680189535476178],[2.954359248786048],[9.174147212807725],[5.273971081204597],[2.442666056642575],[9.405793189635329],[4.743624930710252],[2.1620191679344214],[4.221311319187371],[3.7262059474075384],[1.6964957350899146],[6.936130219205216],[0.4436707604609713],[8.561380109717575],[3.617517006984532],[2.1297715807447535],[2.796746717534131],[0.15108593791554048],[0.965500948357898],[9.911483481667977],[9.14504968573339],[8.849679639408116],[9.950855531059242],[6.79686709845161],[1.5510723354964029]]]
10,64583.30,58786.50,0.70,45074.76,[[[6.52871983195652],[4.191573563284244],[8.679880673865622],[6.421649439001877],[4.160696631370016],[1.5024934366515075],[1.1266575895913655],[0.7896904603150734],[6.527509524247199],[8.55902166641713],[8.688398933767237],[1.4283954599766657],[6.433651456418613],[0.7495064196173173],[3.675372448386489],[6.572096193503625],[8.206498904071774],[9.4356122831589],[6.500717420758488],[4.655287850382885],[8.292654771633382],[2.2953850467944212],[2.578103835617486],[8.238423798466725],[8.64229003144018],[7.345297373862497],[1.1272554816361458],[9.879834989809071],[9.470010292893532],[0.7680189535476178],[2.954359248786048],[9.174147212807725],[5.273971081204597],[2.442666056642575],[9.405793189635329],[4.743624930710252],[2.1620191679344214],[4.221311319187371],[3.7262059474075384],[1.6964957350899146],[6.936130219205216],[0.4436707604609713],[8.561380109717575],[3.617517006984532],[2.1297715807447535],[2.796746717534131],[0.15108593791554048],[0.965500948357898],[9.911483481667977],[9.14504968573339],[8.849679639408116],[9.950855531059242],[6.79686709845161],[1.5510723354964029]]]
