Generación,Mejor Fitness,Prom Fitness,Diversidad,Peor Fitness,CPU (%),Memoria (%),Tiempo (s),Goles Favor,Goles Contra
1,60174.49,55650.05,0.75,45074.76,0.00,99.21,11.44,0,33
2,64583.30,58089.69,0.50,48363.75,65.27,99.04,15.04,0,26
3,64583.30,59249.50,0.75,53054.53,62.80,98.40,18.24,0,26
4,64583.30,57393.99,0.90,48363.75,57.70,98.66,21.42,0,26
5,64583.30,58447.24,0.75,40790.24,59.52,98.92,24.68,0,26
6,64583.30,58812.39,0.80,45908.78,61.25,98.98,28.00,0,26
7,64583.30,58049.96,0.80,44233.02,63.54,98.89,31.40,0,26
8,64583.30,59963.35,0.70,51524.21,62.37,99.10,34.88,0,26
9,64583.30,58952.95,0.65,45074.76,71.83,98.84,38.58,0,26
10,64583.30,58786.50,0.70,45074.76,59.71,98.94,41.92,0,26
11,64583.30,60668.76,0.60,48363.75,62.11,99.09,45.28,0,26
12,64583.30,59537.64,0.60,50746.44,63.73,98.91,48.81,0,26
13,64583.30,58897.00,0.65,45908.78,58.32,98.96,52.09,0,26
14,64583.30,59100.07,0.75,50746.44,67.18,99.17,55.61,0,26
15,64583.30,58725.73,0.75,49166.12,61.51,99.11,58.97,0,26
16,64583.30,59364.53,0.60,45908.78,61.20,99.23,62.27,0,26
17,64583.30,59112.18,0.55,45908.78,58.09,99.21,65.74,0,26
18,64583.30,58439.90,0.70,45908.78,61.08,98.87,69.18,0,26
19,64583.30,58444.31,0.65,43383.63,68.56,98.53,72.79,0,26
20,64583.30,58808.25,0.75,48363.75,59.65,98.84,76.25,0,26
21,64583.30,57706.12,0.65,43383.63,58.97,99.02,79.72,0,26
22,64583.30,59455.99,0.55,45908.78,60.09,98.95,83.21,0,26
23,64583.30,58387.68,0.65,45908.78,59.28,99.26,86.75,0,26
24,65170.67,61566.23,0.65,48363.75,61.70,99.08,90.30,0,25
25,65170.67,58841.51,0.75,48363.75,61.01,98.88,93.84,0,25
26,65170.67,58261.03,0.70,45908.78,56.78,99.14,97.29,0,25
27,67405.74,60533.11,0.70,47553.35,60.62,98.85,100.68,0,21
28,67405.74,60465.18,0.80,45908.78,60.77,98.87,104.02,0,21
29,69445.12,60321.56,0.80,46735.00,60.48,99.01,107.35,0,17
30,69445.12,60078.67,0.90,45908.78,61.41,99.01,110.78,0,17
31,69445.12,60757.49,0.90,47553.35,61.68,98.91,114.12,0,17
32,69445.12,62382.26,0.80,45908.78,61.19,99.02,117.48,0,17
33,69445.12,63935.29,0.75,45074.76,64.97,98.85,120.87,0,17
34,69445.12,63036.97,0.70,50746.44,59.19,98.67,124.18,0,17
35,69445.12,63194.28,0.70,33554.11,61.09,98.91,127.52,0,17
36,69445.12,62149.67,0.80,45908.78,61.84,98.94,130.91,0,17
37,69445.12,61489.15,0.75,45908.78,63.01,99.13,134.25,0,17
38,69445.12,61280.65,0.80,45908.78,61.15,99.15,137.63,0,17
39,69445.12,62176.59,0.70,40790.24,62.69,98.86,140.95,0,17
40,69445.12,62196.16,0.75,46735.00,60.89,98.84,144.38,0,17
41,69445.12,61525.40,0.80,45908.78,61.53,98.89,147.82,0,17
42,69445.12,62562.35,0.75,45908.78,59.37,99.05,151.10,0,17
43,69445.12,64095.57,0.80,45908.78,60.81,98.95,154.46,0,17
44,69445.12,62585.32,0.75,49166.12,59.56,98.99,157.82,0,17
45,69445.12,60806.35,0.75,45908.78,60.80,99.07,161.20,0,17
46,69445.12,61280.30,0.70,45908.78,60.99,99.03,164.61,0,17
47,69445.12,62576.76,0.70,46735.00,65.68,98.79,168.05,0,17
48,69445.12,61750.92,0.75,50746.44,61.52,98.93,171.42,0,17
49,74130.22,62135.61,0.80,43383.63,62.40,99.15,174.76,0,5
50,74130.22,60992.74,0.80,45908.78,62.27,98.68,178.15,0,5
51,74130.22,61066.99,0.80,45908.78,60.32,98.72,181.49,0,5
52,74130.22,60859.44,0.85,45908.78,61.65,98.85,184.82,0,5
53,74130.22,64387.53,0.75,48363.75,61.33,98.99,188.07,0,5
54,74130.22,65664.93,0.80,46735.00,59.79,98.91,191.41,0,5
55,74130.22,65317.32,0.85,44233.02,61.58,98.94,194.71,0,5
56,74130.22,66682.20,0.70,50746.44,60.26,98.95,197.85,0,5
57,74130.22,64893.80,0.60,43383.63,60.65,99.20,201.07,0,5
58,74130.22,66872.73,0.75,47553.35,60.75,98.93,204.33,0,5
59,74130.22,63063.46,0.80,44233.02,61.39,99.18,207.69,0,5
60,74130.22,67544.44,0.65,48363.75,61.14,98.96,210.83,0,5
61,74130.22,65548.34,0.70,45908.78,63.19,98.94,214.05,0,5
62,74130.22,63790.81,0.85,44233.02,61.68,98.94,217.32,0,5
63,74130.22,62435.27,0.85,41662.17,61.41,99.00,220.67,0,5
64,74130.22,64425.56,0.80,47553.35,66.74,98.64,224.10,0,5
65,74130.22,64262.33,0.90,48363.75,61.57,99.11,227.40,0,5
66,74130.22,62309.46,0.70,47553.35,61.73,98.95,230.76,0,5
67,74130.22,64203.79,0.75,40790.24,61.16,98.94,234.17,0,5
68,74130.22,65477.86,0.75,46735.00,64.70,99.06,237.39,0,5
69,74130.22,65378.12,0.70,41662.17,60.57,98.77,240.75,0,5
70,74130.22,65638.94,0.85,45908.78,62.05,99.11,244.08,0,5
71,74130.22,67933.62,0.90,47553.35,60.33,99.05,247.32,0,5
72,74130.22,66665.02,0.85,46735.00,61.22,98.96,250.60,0,5
73,74130.22,66153.50,0.90,49960.38,62.35,99.00,253.91,0,5
74,74130.22,63383.38,0.85,44233.02,62.08,99.05,257.24,0,5
75,74130.22,62818.97,0.75,47553.35,63.78,99.23,260.54,0,5
76,74130.22,67489.12,0.70,49166.12,66.55,98.94,263.84,0,5
77,74130.22,63684.13,0.80,49166.12,64.01,99.17,267.24,0,5
78,74130.22,61914.25,0.80,43383.63,63.42,99.19,270.80,0,5
79,74130.22,67222.18,0.75,48363.75,63.33,98.84,274.29,0,5
80,74130.22,66940.88,0.75,45908.78,61.17,98.86,277.62,0,5
81,74130.22,63517.13,0.80,46735.00,67.29,99.22,281.43,0,5
82,74130.22,62668.70,0.80,46735.00,71.83,99.11,285.74,0,5
83,74130.22,62520.70,0.80,42526.66,64.96,98.88,289.58,0,5
84,74130.22,62872.21,0.70,43383.63,70.34,98.90,293.79,0,5
85,74130.22,68800.67,0.60,49166.12,64.92,99.12,297.54,0,5
86,74130.22,66247.52,0.80,50746.44,64.57,98.69,301.39,0,5
87,74130.22,65208.94,0.75,43383.63,63.74,98.87,305.23,0,5
88,74130.22,65549.90,0.75,44233.02,67.37,98.99,308.95,0,5
89,74130.22,65634.79,0.80,47553.35,65.17,99.03,312.79,0,5
90,74130.22,62615.94,0.80,49960.38,66.44,98.93,316.81,0,5
91,74130.22,63317.45,0.80,40790.24,65.24,99.13,320.66,0,5
92,74130.22,62978.08,0.80,39910.93,68.25,99.28,325.21,0,5
93,74130.22,61375.31,0.80,45074.76,67.81,99.19,329.40,0,5
94,74130.22,63801.89,0.75,42526.66,66.36,99.01,333.62,0,5
