---,SchemaDemo,CDTeamHetero,DaveHeteroG,PermHomoG,DTeam,LoneForwardTeamHomoG,CommTeam,FemmeBotsHeteroG,JunTeamHeteroG,BriSpec,DoogHomoG,BasicTeam,SchemaNewHetero,DoogHeteroG,GoToBall,MattiHetero,Kechze,BrianTeam,SibHeteroG,AIKHomoG
SchemaDemo,x,1,1,1,1,1,1,1,1,2,1,1,1,1,1,500783022661933,1,1,1,1
CDTeamHetero,8,x,0,0,1,3,16,0,4,0,0,16,1,0,3,7,1,3,2,0
DaveHeteroG,3,9,x,0,3,1,0,1,25,2,0,11,1,0,1,7,1,22,0,1
PermHomoG,3,0,0,x,0,0,7,0,6,1,0,7,1,0,1,0,0,2,0,0
DTeam,3,3,0,0,x,1,15,3,11,13,0,15,1,1,20,7,3,10,1,3
LoneForwardTeamHomoG,3,19,1,0,3,x,25,0,32,3,2,25,1,3,0,7,4,30,1,5
CommTeam,2,3,0,1,2,5,x,1,8,0,1,14,1,1,17,31,9,6,0,0
FemmeBotsHeteroG,2,2,0,0,1,0,9,x,22,0,0,20,1,2,3,5494463031122522,1,13,1,1
JunTeamHeteroG,9,1,1,0,0,1,11,2,x,5,0,15,1,0,4,7,8,13,1,0
BriSpec,4,5,3,0,0,2,14,1,7,x,2,21,1,1,0,0,1,1,0,0
DoogHomoG,3,8,8,2,6,0,19,8,35,9,x,21,1,2,18,7,10,28,6,0
BasicTeam,20,3,1,1,2,5,8,2,8,0,2,x,1,3,17,7,9,6,0,0
SchemaNewHetero,5,4,5,2,6,12,2,3,3,4,4,6,x,1,1,2850196441518986,1,1,1,1
DoogHeteroG,3,16,14,0,5,2,18,7,27,9,4,14,0,x,21,7,7,29,6,3
GoToBall,18,1,0,0,0,0,6,0,3,0,3,6,4,0,x,7,3,1,0,1
MattiHetero,1,0,0,0,0,0,2,1,2,0,3,0,0,2,0,x,7,7,7,7
Kechze,5,5,9,1,13,4,28,0,19,3,3,28,1,3,4,1,x,27,3,4
BrianTeam,6,4,0,0,0,1,16,4,7,0,2,16,13,1,7,10,0,x,0,1
SibHeteroG,0,7,3,2,2,4,16,0,14,0,3,16,3,1,5,2,9,19,x,0
AIKHomoG,1,12,4,2,2,4,26,1,18,2,2,26,4,6,19,5,4,23,4,x
