---,SchemaDemo,CDTeamHetero,DaveHeteroG,PermHomoG,DTeam,LoneForwardTeamHomoG,CommTeam,FemmeBotsHeteroG,JunTeamHeteroG,BriSpec,DoogHomoG,BasicTeam,SchemaNewHetero,DoogHeteroG,GoToBall,MattiHetero,Kechze,BrianTeam,SibHeteroG,AIKHomoG
SchemaDemo,x,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
CDTeamHetero,3,x,0,2,0,3,15,0,3,0,0,15,1,1,3,4235933891600073,3,5,1,0
DaveHeteroG,0,9,x,1,4,3,1,1,27,1,1,1,1,2,0,0,2,8,1,0
PermHomoG,1,2,0,x,0,0,9,0,4,0,0,9,1,0,0,0,1,0,0,0
DTeam,4,4,1,0,x,0,18,2,9,5,0,18,1,2,16,7,4,9,2,2
LoneForwardTeamHomoG,4,20,2,0,2,x,21,1,41,4,1,21,1,5,0,7,3,33,1,4
CommTeam,2,5,0,0,1,3,x,2,9,0,2,15,1,2,13,7,8,6,0,0
FemmeBotsHeteroG,0,7,0,0,0,0,9,x,9,1,2,2,1,3,30,0,3,4,0,0
JunTeamHeteroG,15,2,1,1,2,0,12,1,x,1,0,17,1,1,15,13828907244995514,0,13,2,1
BriSpec,2,10,2,0,0,2,4,0,3,x,1,10,1,2,4,2,1,1,1,0
DoogHomoG,4,10,8,4,2,0,11,11,32,6,x,15,1,4,15,7,7,19,4,2
BasicTeam,16,5,0,0,1,3,17,0,20,0,0,x,1,1,13,17,8,6,0,0
SchemaNewHetero,9,3,7,2,6,13,2,3,4,9,6,5,x,1,1,7,1,1,1,1
DoogHeteroG,2,9,19,1,15,0,13,11,31,8,4,12,4,x,13,8,5,38,7,1
GoToBall,18,0,0,0,0,0,7,0,11,0,0,7,21,0,x,7,1,4,0,0
MattiHetero,0,0,1,0,6,1,2,0,2,0,2,0,1,2,0,x,7,5,7,5
Kechze,2,5,8,1,20,2,26,2,2,14,1,26,3,1,3,3,x,30,8,6
BrianTeam,15,3,3,0,0,2,2,0,17,0,5,2,8,3,9,17,0,x,0,0
SibHeteroG,1,5,2,1,2,3,0,0,9,1,1,0,0,4,3,2,8,3,x,1
AIKHomoG,1,10,9,2,1,5,19,1,15,5,8,19,1,5,20,6,9,20,6,x
