Generación,Fitness Global,CPU (%),Memoria (%),Tiempo (s),Goles Favor,Goles Contra,CPUs (configurados),Population Size,Core0 (%),Core1 (%),Core2 (%),Core3 (%),Core4 (%),Core5 (%),Core6 (%),Core7 (%)
1,33875,67.14,50.64134233978909,1.582102272733385,0,25,2,100,70.17,64.11,0.0,0.0,0.0,0.0,0.0,0.0
2,33875,71.32,50.24589414951458,1.5805210068814812,0,25,2,100,76.11,66.54,0.0,0.0,0.0,0.0,0.0,0.0
3,33875,60.82,55.32489012659068,1.5241141486433585,0,25,2,100,62.95,58.69,0.0,0.0,0.0,0.0,0.0,0.0
4,33875,67.75,55.5419137067104,1.489778888935429,0,25,2,100,68.68,66.82,0.0,0.0,0.0,0.0,0.0,0.0
5,33875,89.18,57.15286404641338,1.5517763303143344,0,25,2,100,78.36,100.0,0.0,0.0,0.0,0.0,0.0,0.0
6,33875,56.22,55.09848312287523,1.5457945348440696,0,25,2,100,54.49,57.95,0.0,0.0,0.0,0.0,0.0,0.0
7,33875,34.4,56.02633556263898,1.5892293345802229,0,25,2,100,33.01,35.8,0.0,0.0,0.0,0.0,0.0,0.0
8,33875,61.24,54.56073072109962,1.5845638423389246,0,25,2,100,54.59,67.89,0.0,0.0,0.0,0.0,0.0,0.0
9,33875,68.49,50.0013678571617,1.5800310635948904,0,25,2,100,68.78,68.2,0.0,0.0,0.0,0.0,0.0,0.0
10,33875,53.28,55.41815721306532,1.5491113745837566,0,25,2,100,51.32,55.24,0.0,0.0,0.0,0.0,0.0,0.0
11,33875,69.31,55.0833041835714,1.57212529635164,0,25,2,100,64.58,74.03,0.0,0.0,0.0,0.0,0.0,0.0
12,33875,61.7,46.973485953960775,1.629111620743598,0,25,2,100,63.64,59.77,0.0,0.0,0.0,0.0,0.0,0.0
13,33875,56.0,51.49987213088249,1.6296406211004169,0,25,2,100,47.72,64.28,0.0,0.0,0.0,0.0,0.0,0.0
14,33875,77.1,51.07038515342089,1.6256107271038691,0,25,2,100,73.13,81.08,0.0,0.0,0.0,0.0,0.0,0.0
15,33875,33.42,53.764979659059954,1.672308514473618,0,25,2,100,34.47,32.38,0.0,0.0,0.0,0.0,0.0,0.0
16,33875,52.28,51.74534427119358,1.5101147574641487,0,25,2,100,50.88,53.67,0.0,0.0,0.0,0.0,0.0,0.0
17,34681,62.01,52.4883862554743,1.519653671435215,0,23,2,100,57.2,66.82,0.0,0.0,0.0,0.0,0.0,0.0
18,33875,89.2,55.54766188354242,1.6256004209675543,0,25,2,100,88.7,89.69,0.0,0.0,0.0,0.0,0.0,0.0
19,33875,58.08,55.82360520406646,1.553729931793022,0,25,2,100,50.57,65.58,0.0,0.0,0.0,0.0,0.0,0.0
20,33875,22.87,50.69145634061815,1.544730046491503,0,25,2,100,25.38,20.36,0.0,0.0,0.0,0.0,0.0,0.0
21,34278,41.82,50.25603809327402,1.5257058996276782,0,24,2,100,39.62,44.02,0.0,0.0,0.0,0.0,0.0,0.0
22,33875,51.8,58.17109333995958,1.564142312004603,0,25,2,100,49.6,54.01,0.0,0.0,0.0,0.0,0.0,0.0
23,33875,46.04,53.60377103459789,1.6443192916001883,0,25,2,100,44.11,47.98,0.0,0.0,0.0,0.0,0.0,0.0
24,33875,38.51,54.73842842328536,1.4815967498956293,0,25,2,100,38.07,38.95,0.0,0.0,0.0,0.0,0.0,0.0
25,33875,70.9,47.98756179385269,1.5955756251760465,0,25,2,100,75.54,66.25,0.0,0.0,0.0,0.0,0.0,0.0
26,33875,56.54,52.70181054244573,1.5310254846437987,0,25,2,100,55.78,57.29,0.0,0.0,0.0,0.0,0.0,0.0
27,33875,59.89,52.6946696566219,1.5975342450847363,0,25,2,100,61.92,57.86,0.0,0.0,0.0,0.0,0.0,0.0
28,33875,50.12,53.59830245344855,1.7201642778994168,0,25,2,100,49.0,51.24,0.0,0.0,0.0,0.0,0.0,0.0
29,33875,95.79,48.82499355694392,1.499821510357395,0,25,2,100,100.0,91.58,0.0,0.0,0.0,0.0,0.0,0.0
30,33875,54.56,56.05284291248706,1.539067833436151,0,25,2,100,59.83,49.28,0.0,0.0,0.0,0.0,0.0,0.0
31,34278,63.96,49.38696417793396,1.548006367686031,0,24,2,100,68.99,58.92,0.0,0.0,0.0,0.0,0.0,0.0
32,33875,25.56,56.18383100799348,1.6284054018628102,0,25,2,100,28.25,22.86,0.0,0.0,0.0,0.0,0.0,0.0
33,33875,43.98,55.86928114120104,1.604565166367674,0,25,2,100,44.79,43.18,0.0,0.0,0.0,0.0,0.0,0.0
34,33875,75.12,50.5536436945853,1.459057972672398,0,25,2,100,68.75,81.5,0.0,0.0,0.0,0.0,0.0,0.0
35,33875,61.35,53.939851791141095,1.639981922559968,0,25,2,100,58.66,64.04,0.0,0.0,0.0,0.0,0.0,0.0
36,33875,68.2,54.48452542080766,1.608274823653835,0,25,2,100,67.21,69.2,0.0,0.0,0.0,0.0,0.0,0.0
37,33875,54.53,56.88568113442571,1.58332689422724,0,25,2,100,61.57,47.49,0.0,0.0,0.0,0.0,0.0,0.0
38,33875,25.51,50.112894889621465,1.5877660662591913,0,25,2,100,27.28,23.73,0.0,0.0,0.0,0.0,0.0,0.0
39,33875,26.36,57.294892290496506,1.543102490172181,0,25,2,100,30.23,22.5,0.0,0.0,0.0,0.0,0.0,0.0
40,33875,66.91,48.76800513491736,1.5394063155660158,0,25,2,100,66.24,67.58,0.0,0.0,0.0,0.0,0.0,0.0
41,33875,66.97,55.37681551515869,1.5610546436124584,0,25,2,100,69.46,64.49,0.0,0.0,0.0,0.0,0.0,0.0
42,33875,31.2,53.24584827975841,1.5878660373061817,0,25,2,100,30.38,32.01,0.0,0.0,0.0,0.0,0.0,0.0
43,33875,94.1,47.93637719935448,1.5044740037136144,0,25,2,100,92.2,95.99,0.0,0.0,0.0,0.0,0.0,0.0
44,33875,69.15,55.78850612076307,1.5975537155719648,0,25,2,100,71.54,66.75,0.0,0.0,0.0,0.0,0.0,0.0
45,33875,39.56,59.47333493632511,1.4581114559156163,0,25,2,100,39.08,40.05,0.0,0.0,0.0,0.0,0.0,0.0
46,33875,54.74,52.12292495307075,1.6004711454482698,0,25,2,100,56.03,53.44,0.0,0.0,0.0,0.0,0.0,0.0
47,33875,100.0,51.11553669631333,1.6169861737404494,0,25,2,100,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
48,33875,50.18,52.99791571235802,1.5272567555169052,0,25,2,100,48.57,51.79,0.0,0.0,0.0,0.0,0.0,0.0
49,33875,57.13,54.34975034835002,1.524229702470938,0,25,2,100,55.76,58.5,0.0,0.0,0.0,0.0,0.0,0.0
50,33875,56.17,55.82989069253906,1.621771591211993,0,25,2,100,56.38,55.96,0.0,0.0,0.0,0.0,0.0,0.0
51,33875,67.08,50.94772957823699,1.6057288749059466,0,25,2,100,70.36,63.8,0.0,0.0,0.0,0.0,0.0,0.0
52,34278,58.94,58.83304424177869,1.5802608443856754,0,24,2,100,57.39,60.49,0.0,0.0,0.0,0.0,0.0,0.0
53,33875,58.76,49.3625601336699,1.5167436857683028,0,25,2,100,57.78,59.75,0.0,0.0,0.0,0.0,0.0,0.0
54,33875,30.4,51.02960387880078,1.6425561048487651,0,25,2,100,34.73,26.07,0.0,0.0,0.0,0.0,0.0,0.0
55,34681,49.96,55.19199960419764,1.5914880277657537,0,23,2,100,45.77,54.16,0.0,0.0,0.0,0.0,0.0,0.0
56,33875,73.66,53.35173088983821,1.5806134655903137,0,25,2,100,74.71,72.61,0.0,0.0,0.0,0.0,0.0,0.0
57,33875,65.24,50.648362165211175,1.6406951926433495,0,25,2,100,66.36,64.11,0.0,0.0,0.0,0.0,0.0,0.0
58,33875,46.42,52.69615756423795,1.573597189251575,0,25,2,100,47.37,45.46,0.0,0.0,0.0,0.0,0.0,0.0
59,33875,79.16,51.57840586429929,1.617011089803711,0,25,2,100,71.24,87.09,0.0,0.0,0.0,0.0,0.0,0.0
60,33875,80.46,49.48656366286493,1.5559145843606652,0,25,2,100,71.09,89.82,0.0,0.0,0.0,0.0,0.0,0.0
61,34278,98.74,56.08529978158766,1.5061556646195702,0,24,2,100,100.0,97.47,0.0,0.0,0.0,0.0,0.0,0.0
62,35487,67.37,50.659630107085775,1.6039601664382483,0,21,2,100,64.21,70.53,0.0,0.0,0.0,0.0,0.0,0.0
