Generación,Fitness Global,CPU (%),Memoria (%),Tiempo (s),Goles Favor,Goles Contra,CPUs (configurados),Population Size,Core0 (%),Core1 (%),Core2 (%),Core3 (%),Core4 (%),Core5 (%),Core6 (%),Core7 (%)
41,33875,99.38,63.29546404858047,1.2331796529413492,0,25,8,500,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.04
42,33875,99.54,63.046094702696735,1.1896087564507534,0,25,8,500,100.0,100.0,100.0,97.4,100.0,98.9,100.0,100.0
43,33875,99.02,62.95743964839417,1.2678904436269711,0,25,8,500,100.0,100.0,100.0,100.0,95.17,97.02,100.0,100.0
44,33875,99.71,61.52867377955983,1.1090728539719203,0,25,8,500,100.0,98.81,100.0,100.0,99.41,100.0,100.0,99.45
45,33875,99.33,61.977823115867785,1.1735861037981214,0,25,8,500,100.0,98.46,100.0,100.0,100.0,100.0,100.0,96.21
46,33875,100.0,61.3361548619036,1.2316332360758708,0,25,8,500,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
47,33875,100.0,62.3257495247958,1.1218524258824882,0,25,8,500,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
48,33875,99.02,62.53620202435562,1.2566742037738337,0,25,8,500,100.0,92.12,100.0,100.0,100.0,100.0,100.0,100.0
49,33875,99.57,61.74340776406406,1.2332363481521793,0,25,8,500,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.58
50,33875,98.26,63.970138268333656,1.260007075161824,0,25,8,500,100.0,100.0,87.78,100.0,100.0,99.66,98.6,100.0
51,34278,100.0,61.67244142557396,1.1611845888084396,0,24,8,500,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
52,35084,99.7,62.15398780401025,1.2269614766173784,0,22,8,500,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.63
53,33875,98.04,61.8258138187276,1.1827036399642212,0,25,8,500,100.0,96.5,100.0,100.0,100.0,92.2,98.74,96.84
54,33875,100.0,61.12632683936005,1.1397856540555518,0,25,8,500,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
55,33875,100.0,61.800440110135376,1.2110269648030745,0,25,8,500,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
56,34278,100.0,62.83312293912757,1.1416400324839395,0,24,8,500,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
57,33875,99.86,61.79361003923143,1.1656585764144691,0,25,8,500,100.0,99.52,100.0,100.0,100.0,100.0,100.0,99.4
