Generación,Fitness Global,CPU (%),Memoria (%),Tiempo (s),Goles Favor,Goles Contra,CPUs (configurados),Population Size,Core0 (%),Core1 (%),Core2 (%),Core3 (%),Core4 (%),Core5 (%),Core6 (%),Core7 (%)
1,33875,26.04,49.67388423483893,1.5154805110168157,0,25,2,50,26.11,25.98,0.0,0.0,0.0,0.0,0.0,0.0
2,33875,61.56,51.79926212012177,1.4567108887702973,0,25,2,50,62.53,60.58,0.0,0.0,0.0,0.0,0.0,0.0
3,33875,49.67,54.40992816399698,1.5360809465003349,0,25,2,50,54.28,45.06,0.0,0.0,0.0,0.0,0.0,0.0
4,33875,48.84,52.99071928299249,1.492944908009732,0,25,2,50,48.59,49.08,0.0,0.0,0.0,0.0,0.0,0.0
5,34278,65.06,53.00824912946832,1.561667037379199,0,24,2,50,65.85,64.27,0.0,0.0,0.0,0.0,0.0,0.0
6,33875,25.33,51.961442616043165,1.4834347906513534,0,25,2,50,29.12,21.54,0.0,0.0,0.0,0.0,0.0,0.0
7,33875,72.11,51.32863041911687,1.5625938740985932,0,25,2,50,80.1,64.12,0.0,0.0,0.0,0.0,0.0,0.0
8,33875,51.28,39.82036918700931,1.3664235342789255,0,25,2,50,53.82,48.73,0.0,0.0,0.0,0.0,0.0,0.0
9,33875,54.57,55.64024477961638,1.475521920675052,0,25,2,50,54.87,54.27,0.0,0.0,0.0,0.0,0.0,0.0
10,33875,96.7,49.189294025806255,1.4360106773305137,0,25,2,50,99.1,94.31,0.0,0.0,0.0,0.0,0.0,0.0
11,33875,48.3,50.64019784403627,1.3744670000227357,0,25,2,50,44.84,51.76,0.0,0.0,0.0,0.0,0.0,0.0
12,33875,53.58,54.31310222819243,1.5092024235819708,0,25,2,50,53.73,53.43,0.0,0.0,0.0,0.0,0.0,0.0
13,33875,62.21,48.63983422316317,1.537947929755081,0,25,2,50,56.76,67.66,0.0,0.0,0.0,0.0,0.0,0.0
14,33875,73.62,53.56146476733583,1.5288004900804086,0,25,2,50,71.39,75.86,0.0,0.0,0.0,0.0,0.0,0.0
15,33875,60.7,53.665023977427424,1.503121743397984,0,25,2,50,58.55,62.86,0.0,0.0,0.0,0.0,0.0,0.0
16,33875,31.78,50.408882380902064,1.527158453715986,0,25,2,50,35.67,27.9,0.0,0.0,0.0,0.0,0.0,0.0
17,33875,94.18,47.935180966093256,1.3440813174773052,0,25,2,50,90.21,98.14,0.0,0.0,0.0,0.0,0.0,0.0
18,33875,49.96,46.36388351952112,1.505888013344682,0,25,2,50,47.24,52.67,0.0,0.0,0.0,0.0,0.0,0.0
19,33875,84.03,53.25548366872138,1.5317391337829274,0,25,2,50,90.36,77.7,0.0,0.0,0.0,0.0,0.0,0.0
20,33875,66.76,51.65729203439999,1.4177940198286618,0,25,2,50,75.49,58.03,0.0,0.0,0.0,0.0,0.0,0.0
21,33875,61.9,50.8478869155513,1.5392483312117082,0,25,2,50,62.25,61.54,0.0,0.0,0.0,0.0,0.0,0.0
22,33875,43.49,44.695546634100886,1.5621556087296564,0,25,2,50,48.32,38.66,0.0,0.0,0.0,0.0,0.0,0.0
23,33875,85.74,56.7198295618323,1.5527676525871377,0,25,2,50,79.24,92.23,0.0,0.0,0.0,0.0,0.0,0.0
24,33875,24.66,53.01324796885092,1.4670083176302957,0,25,2,50,24.2,25.11,0.0,0.0,0.0,0.0,0.0,0.0
25,33875,50.72,48.63427517066435,1.5301167174060994,0,25,2,50,57.67,43.76,0.0,0.0,0.0,0.0,0.0,0.0
26,33875,40.4,46.70757021735622,1.473437237532964,0,25,2,50,39.72,41.09,0.0,0.0,0.0,0.0,0.0,0.0
27,33875,63.5,45.80405434594388,1.4893223405883464,0,25,2,50,59.92,67.07,0.0,0.0,0.0,0.0,0.0,0.0
28,33875,21.46,52.09838053346684,1.4698006254589218,0,25,2,50,23.65,19.26,0.0,0.0,0.0,0.0,0.0,0.0
29,33875,54.33,53.82822855411242,1.5562361153961477,0,25,2,50,53.28,55.38,0.0,0.0,0.0,0.0,0.0,0.0
30,33875,40.56,51.20810686317829,1.4175411283849426,0,25,2,50,39.27,41.84,0.0,0.0,0.0,0.0,0.0,0.0
31,33875,31.5,45.83538454289494,1.5115230463514215,0,25,2,50,33.35,29.65,0.0,0.0,0.0,0.0,0.0,0.0
32,34278,58.2,53.96897657413451,1.5623343771344844,0,24,2,50,61.81,54.59,0.0,0.0,0.0,0.0,0.0,0.0
33,33875,72.92,49.565220502865245,1.509978995371751,0,25,2,50,68.0,77.84,0.0,0.0,0.0,0.0,0.0,0.0
34,34278,53.25,54.69091047651943,1.4657188197516788,0,24,2,50,50.36,56.14,0.0,0.0,0.0,0.0,0.0,0.0
35,33875,31.02,45.77207612587252,1.5571164871134169,0,25,2,50,29.33,32.72,0.0,0.0,0.0,0.0,0.0,0.0
36,33875,41.56,50.40194428972583,1.4596782532382846,0,25,2,50,37.8,45.32,0.0,0.0,0.0,0.0,0.0,0.0
37,34278,51.76,50.4470881178243,1.5686258034564122,0,24,2,50,51.7,51.81,0.0,0.0,0.0,0.0,0.0,0.0
38,33875,95.76,55.8004007609791,1.4485947054335455,0,25,2,50,91.79,99.72,0.0,0.0,0.0,0.0,0.0,0.0
39,33875,59.81,54.00909352400271,1.5645765649825043,0,25,2,50,64.0,55.62,0.0,0.0,0.0,0.0,0.0,0.0
40,33875,73.43,48.00861487566459,1.495598054023945,0,25,2,50,70.05,76.81,0.0,0.0,0.0,0.0,0.0,0.0
41,33875,33.41,55.59383470188536,1.4923665661137735,0,25,2,50,36.85,29.97,0.0,0.0,0.0,0.0,0.0,0.0
42,34278,58.51,51.07811956268993,1.5069853864338136,0,24,2,50,56.76,60.26,0.0,0.0,0.0,0.0,0.0,0.0
43,33875,26.45,50.60932868191736,1.4874551524426705,0,25,2,50,25.83,27.07,0.0,0.0,0.0,0.0,0.0,0.0
