Generación,Fitness Global,CPU (%),Memoria (%),Tiempo (s),Goles Favor,Goles Contra,CPUs (configurados),Population Size,Core0 (%),Core1 (%),Core2 (%),Core3 (%),Core4 (%),Core5 (%),Core6 (%),Core7 (%)
1,33875,51.45,53.02497328157097,0.5202418162077973,0,25,8,100,41.45,49.36,49.27,47.42,62.52,59.55,57.5,44.54
2,33875,57.3,52.2453260916237,0.5667615741443076,0,25,8,100,58.62,51.3,56.52,63.77,69.4,50.89,50.12,57.74
3,33875,64.6,53.14868864122517,0.6427295690429012,0,25,8,100,60.65,64.89,64.74,62.79,72.58,67.58,62.02,61.57
4,33875,53.21,52.71568170204234,0.724768790894012,0,25,8,100,51.9,55.48,52.87,56.94,53.87,52.01,53.87,48.71
5,33875,65.98,51.70604951904296,0.5664635753829975,0,25,8,100,67.22,63.64,78.48,59.88,67.56,62.52,68.11,60.4
6,34278,57.38,52.93224190190796,0.6076600665830378,0,24,8,100,56.25,55.58,57.9,58.12,52.02,50.41,64.26,64.54
7,33875,50.48,52.42181250803975,0.6097550263863701,0,25,8,100,54.87,51.92,55.51,46.36,49.46,51.46,48.26,46.0
8,33875,62.98,52.84086639514527,0.6464751307860218,0,25,8,100,70.38,69.0,56.58,52.53,68.9,64.1,53.57,68.81
9,33875,46.63,52.46708288392744,0.652699644447017,0,25,8,100,46.71,45.39,48.6,40.99,52.15,46.1,48.74,44.35
10,33875,62.91,51.96376807656492,0.625231394178982,0,25,8,100,68.48,71.59,58.97,55.84,67.97,55.65,59.53,65.26
11,33875,57.99,51.74420759792259,0.5661342215650299,0,25,8,100,50.4,62.78,52.36,63.61,62.1,57.02,62.55,53.06
12,33875,62.69,54.11378631563939,0.5931123618611593,0,25,8,100,51.57,68.32,60.3,67.8,70.84,60.61,69.1,52.96
13,33875,61.93,54.46314531866299,0.6489810431354848,0,25,8,100,61.49,67.57,63.6,55.23,58.7,61.13,67.51,60.24
14,33875,63.02,53.4947093769124,0.5921186826182492,0,25,8,100,65.43,54.4,64.88,72.16,56.85,62.5,64.18,63.75
15,33875,77.9,52.35311056753508,0.7415317354080181,0,25,8,100,68.76,75.69,85.89,86.83,84.44,83.7,72.85,65.06
16,33875,57.6,53.18712216565777,0.6206393112103965,0,25,8,100,62.16,63.86,47.23,50.28,63.01,59.13,58.41,56.69
17,33875,66.82,53.2464104736942,0.5366967939827594,0,25,8,100,63.95,75.03,57.74,71.03,65.32,72.63,61.15,67.7
18,33875,67.96,52.74861622396392,0.607162130839015,0,25,8,100,58.04,75.28,60.15,71.06,66.31,71.59,78.62,62.61
19,33875,61.12,52.90343290485546,0.6511002096864947,0,25,8,100,61.48,69.44,70.53,54.49,64.91,50.81,55.59,61.7
20,33875,52.6,52.6917417608998,0.4659312756957622,0,25,8,100,48.61,57.22,60.37,53.98,42.94,52.46,60.13,45.1
21,35084,58.76,51.99254147726786,0.6414201757995878,0,22,8,100,69.39,59.08,56.65,60.35,52.74,49.84,64.13,57.94
22,33875,70.3,52.19643331227963,0.6324862316345062,0,25,8,100,75.66,75.48,61.49,75.53,77.56,72.53,60.17,63.98
23,33875,61.48,52.01079817387832,0.6172074192135213,0,25,8,100,54.98,62.74,63.6,55.12,62.12,70.42,61.13,61.69
24,33875,60.93,52.29653786030337,0.6079675316959023,0,25,8,100,55.47,69.4,68.66,49.5,65.53,53.47,59.09,66.32
25,33875,68.04,53.42540678340258,0.5455432220834325,0,25,8,100,78.22,58.7,71.62,73.34,66.21,63.04,69.38,63.8
26,33875,74.18,53.683388859516,0.6034383125804937,0,25,8,100,70.09,73.46,82.1,83.9,76.1,66.58,68.08,73.15
27,33875,64.68,53.25520523428136,0.5778553762989671,0,25,8,100,69.2,55.77,66.75,68.72,59.42,69.73,69.67,58.18
28,33875,57.23,51.66834436020918,0.6913699534393568,0,25,8,100,62.22,51.46,59.49,49.65,60.06,63.87,61.4,49.71
29,33875,69.45,52.941114355683226,0.6026880207776478,0,25,8,100,69.99,71.27,71.73,57.87,74.34,69.28,76.49,64.6
30,33875,62.17,52.21804915815704,0.6272718495985771,0,25,8,100,64.82,61.53,59.19,64.92,67.95,53.72,56.69,68.53
