Generación,Fitness Global,CPU (%),Memoria (%),Tiempo (s),Goles Favor,Goles Contra,CPUs (configurados),Population Size,Core0 (%),Core1 (%),Core2 (%),Core3 (%),Core4 (%),Core5 (%),Core6 (%),Core7 (%)
1,34278,97.32,60.70000905105903,1.2985651651727228,0,24,6,500,100.0,100.0,97.49,93.34,100.0,93.11,0.0,0.0
2,35084,99.94,61.63645735682653,1.2518259476171716,0,22,6,500,100.0,100.0,100.0,100.0,100.0,99.65,0.0,0.0
3,33875,99.5,63.434478250308246,1.306936458060685,0,25,6,500,100.0,100.0,100.0,100.0,96.97,100.0,0.0,0.0
4,36293,99.58,63.428359494620544,1.2272784740914109,0,19,6,500,100.0,98.27,99.19,100.0,100.0,100.0,0.0,0.0
5,33875,93.93,63.716303723615646,1.2266420791324184,0,25,6,500,88.85,84.27,100.0,100.0,99.29,91.16,0.0,0.0
6,33875,94.35,63.89220174634544,1.303889621229951,0,25,6,500,100.0,95.04,99.14,84.93,100.0,87.01,0.0,0.0
7,33875,96.27,60.61704598296943,1.2493792648249684,0,25,6,500,100.0,100.0,100.0,89.43,100.0,88.17,0.0,0.0
8,33875,100.0,63.400561597406416,1.3435049221286974,0,25,6,500,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
9,35084,100.0,62.84071039734701,1.3311611328071036,0,22,6,500,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
10,37502,99.93,61.05091583093082,1.4136858269023258,0,16,6,500,99.57,100.0,100.0,100.0,100.0,100.0,0.0,0.0
11,33875,99.89,60.98812460053776,1.3609612287929067,0,25,6,500,100.0,100.0,100.0,99.32,100.0,100.0,0.0,0.0
12,33875,100.0,63.45448223172684,1.2509947137424111,0,25,6,500,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
13,36696,99.85,61.43758710639545,1.2997384727779646,0,18,6,500,100.0,100.0,100.0,100.0,99.1,100.0,0.0,0.0
14,35084,99.82,62.35118290595808,1.225350134932424,0,22,6,500,98.89,100.0,100.0,100.0,100.0,100.0,0.0,0.0
15,33875,99.43,62.22049459422559,1.3450491721451945,0,25,6,500,96.58,100.0,100.0,100.0,100.0,100.0,0.0,0.0
16,35084,99.99,63.47770907912764,1.3307252658865074,0,22,6,500,100.0,100.0,99.94,100.0,100.0,100.0,0.0,0.0
17,35084,97.62,60.1398278656352,1.276615479179228,0,22,6,500,98.48,92.95,100.0,94.29,100.0,100.0,0.0,0.0
18,33875,92.75,61.69607502340877,1.3258542775389115,0,25,6,500,100.0,88.72,95.71,92.74,90.87,88.48,0.0,0.0
19,33875,96.79,64.62257210339656,1.3080390385210263,0,25,6,500,100.0,96.26,100.0,93.81,100.0,90.66,0.0,0.0
20,35084,95.74,62.20516375636111,1.303614313830427,0,22,6,500,100.0,100.0,92.44,96.34,85.68,100.0,0.0,0.0
21,33875,99.65,61.67160991630469,1.2788989131797774,0,25,6,500,97.9,100.0,100.0,100.0,100.0,100.0,0.0,0.0
22,34278,100.0,63.05179018153688,1.2361639946484675,0,24,6,500,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
23,33875,97.68,62.13988310887322,1.289447692248528,0,25,6,500,100.0,100.0,88.05,98.03,100.0,100.0,0.0,0.0
24,33875,99.94,60.9640848150065,1.2218902320633775,0,25,6,500,100.0,100.0,99.63,100.0,100.0,100.0,0.0,0.0
25,33875,100.0,62.66300073164054,1.258311046703535,0,25,6,500,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
26,35487,99.73,62.110323836235295,1.3190855105443415,0,21,6,500,100.0,98.36,100.0,100.0,100.0,100.0,0.0,0.0
27,33875,100.0,63.79097661421024,1.3647638204646375,0,25,6,500,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
28,33875,98.94,62.763323466247535,1.3149635448956485,0,25,6,500,100.0,100.0,93.64,100.0,100.0,100.0,0.0,0.0
29,35487,100.0,63.073089170523325,1.2741451887692556,0,21,6,500,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
30,33875,100.0,61.50575439977616,1.289290105373563,0,25,6,500,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
31,33875,91.85,60.97152006901849,1.331963574968333,0,25,6,500,89.65,79.24,98.11,97.37,95.69,91.01,0.0,0.0
32,33875,100.0,61.77078418737905,1.2330270147769578,0,25,6,500,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
33,34278,99.33,63.45478095488841,1.298686891288467,0,24,6,500,100.0,100.0,100.0,95.99,100.0,100.0,0.0,0.0
34,33875,100.0,62.575679551553215,1.2485789673258931,0,25,6,500,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
35,33875,99.52,61.053152036231616,1.3069215409020278,0,25,6,500,97.15,100.0,100.0,100.0,100.0,100.0,0.0,0.0
36,36293,100.0,61.40006421061215,1.25310915248864,0,19,6,500,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
37,33875,97.06,62.26076027706151,1.2546980030180377,0,25,6,500,95.58,100.0,100.0,95.65,91.16,100.0,0.0,0.0
38,35084,96.73,62.82010622202901,1.308002953529961,0,22,6,500,100.0,89.7,100.0,100.0,100.0,90.7,0.0,0.0
39,33875,97.47,61.34659603480836,1.343427318369103,0,25,6,500,89.96,94.86,100.0,100.0,100.0,100.0,0.0,0.0
40,33875,99.36,62.55346766997885,1.3524335966061138,0,25,6,500,100.0,100.0,96.14,100.0,100.0,100.0,0.0,0.0
41,33875,100.0,61.35941695730246,1.4004647002085169,0,25,6,500,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
42,33875,99.26,61.18880447962543,1.3087307073265368,0,25,6,500,100.0,100.0,100.0,95.59,100.0,100.0,0.0,0.0
43,33875,99.14,62.6824249547579,1.3285982193165276,0,25,6,500,100.0,98.44,100.0,100.0,97.16,99.22,0.0,0.0
44,33875,99.37,62.22790490375489,1.285067322642216,0,25,6,500,100.0,100.0,100.0,99.57,96.67,100.0,0.0,0.0
45,33875,100.0,62.93216450157341,1.3072044935986438,0,25,6,500,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
46,33875,100.0,61.712567103882485,1.3511970545593386,0,25,6,500,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
47,34681,100.0,64.78180770616984,1.2525270094026766,0,23,6,500,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
48,33875,100.0,60.47561656201899,1.3119847118769756,0,25,6,500,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
49,34681,99.71,60.607329769713886,1.295629212369232,0,23,6,500,100.0,98.28,100.0,100.0,100.0,100.0,0.0,0.0
50,35890,98.15,62.97869475296438,1.370813975262948,0,20,6,500,100.0,100.0,95.03,93.85,100.0,100.0,0.0,0.0
51,34681,100.0,63.86352338610271,1.2494149843272957,0,23,6,500,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
52,33875,98.35,62.59358130098725,1.3341661090098482,0,25,6,500,100.0,100.0,100.0,90.09,100.0,100.0,0.0,0.0
53,34278,99.2,62.14867684072094,1.3308915042586056,0,24,6,500,100.0,100.0,95.21,100.0,100.0,100.0,0.0,0.0
54,35890,96.42,61.38479015650465,1.2169928304658195,0,20,6,500,92.64,98.38,100.0,87.93,99.55,100.0,0.0,0.0
55,33875,100.0,61.32799100335463,1.3129540082670133,0,25,6,500,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0
