CPUs (configurados),Population Size,generaciones,s_por_gen_media,s_por_gen_mediana,s_por_gen_desv,fitness_max,fitness_final,fitness_mediana,fitness_cola_media,pct_gen_en_tope,config
2,50,3000,1.2587845911240054,1.2627158558709621,0.15269525184695695,150000,46353,38711.0,61067.14,0.46666666666666673,2C-Pop50
2,100,3000,1.329416818194348,1.33338714946426,0.1513872143165022,150000,150000,39114.0,78578.152,1.7333333333333332,2C-Pop100
2,500,3000,1.901143953910278,1.9030686507980634,0.15191100030363763,150000,150000,42435.0,127692.694,11.333333333333332,2C-Pop500
4,50,3000,0.6460721431869701,0.6423217055824335,0.15156230805905258,150000,62525,39920.0,64301.142,0.7333333333333333,4C-Pop50
4,100,3000,0.7169291106427365,0.7202641544154644,0.15210646041714648,150000,104038,39920.0,80303.906,2.166666666666667,4C-Pop100
4,500,3000,1.2896299277882481,1.2953461257911267,0.15199768025817623,150000,150000,40323.0,123155.246,8.933333333333334,4C-Pop500
6,50,3000,0.4166806403404565,0.4166529533683465,0.15169206802777083,150000,54520,40726.0,64756.03,0.7000000000000001,6C-Pop50
6,100,3000,0.4903327929375215,0.48859310043520376,0.15102272474326944,150000,54018,39114.0,78550.662,1.8333333333333333,6C-Pop100
6,500,3000,1.0585911843226294,1.0564812443729301,0.15296273121157242,150000,150000,42588.0,125843.778,10.533333333333333,6C-Pop500
8,50,3000,0.29625356246718865,0.29719002317797316,0.1532707114827807,150000,54776,40726.0,65148.748,0.7333333333333333,8C-Pop50
8,100,3000,0.3682435032248322,0.369475808196529,0.15399822325757836,150000,147550,39114.0,76278.154,1.3666666666666667,8C-Pop100
8,500,3000,0.9363566363623262,0.9353786955277192,0.15402294336817915,150000,150000,41532.0,122512.444,9.933333333333334,8C-Pop500
