Generación,Fitness Global,CPU (%),Memoria (%),Tiempo (s),Goles Favor,Goles Contra,CPUs (configurados),Population Size,Core0 (%),Core1 (%),Core2 (%),Core3 (%),Core4 (%),Core5 (%),Core6 (%),Core7 (%)
1,37502,58.63,49.33768587013614,0.5738911801068034,0,16,8,50,59.94,58.18,60.7,55.75,57.62,56.81,58.71,61.33
2,39517,53.36,49.50264995572119,0.5788194945537908,0,11,8,50,56.23,54.48,53.17,52.44,54.01,46.61,52.6,57.35
3,36696,45.16,49.67814811584712,0.5847126531881557,0,18,8,50,51.44,41.98,45.45,42.36,48.17,43.06,45.31,43.5
4,36293,55.88,51.29755570005253,0.55887277318572,0,19,8,50,59.5,57.26,53.78,51.48,60.51,59.74,56.12,48.68
5,37905,48.25,49.98903566096772,0.6479065222765619,0,15,8,50,53.97,52.7,47.04,44.25,43.74,49.83,47.67,46.83
6,35487,56.12,49.61033526053674,0.5065291566861332,0,21,8,50,62.28,55.59,56.64,54.68,55.35,57.9,53.84,52.67
7,36696,60.28,49.09851115803647,0.5072178354444984,0,18,8,50,57.88,59.02,54.99,55.35,62.19,59.49,66.85,66.48
8,34278,51.3,49.8654992870945,0.5856205668285314,0,24,8,50,55.78,51.12,48.91,53.68,45.43,43.24,58.8,53.47
9,36696,50.55,49.60556840570686,0.56225610245365,0,18,8,50,48.61,51.23,48.07,49.45,54.71,51.83,55.25,45.27
10,38711,55.39,49.47388551033386,0.5541288507129395,0,13,8,50,60.44,50.94,53.92,60.06,49.69,57.88,49.4,60.82
11,35487,44.99,50.36381936186974,0.5994039460676881,0,21,8,50,48.93,43.58,40.59,47.25,38.83,40.9,50.17,49.7
12,37905,49.79,51.01053181550508,0.521743577765415,0,15,8,50,50.35,46.52,58.56,53.82,54.08,41.27,49.1,44.65
13,41129,54.02,49.810506759119264,0.5249187238590338,0,7,8,50,50.56,46.21,52.15,54.27,57.61,59.38,55.14,56.88
14,36696,52.85,49.43970453689324,0.6010146745841987,0,18,8,50,55.06,59.0,48.89,45.38,56.69,52.76,50.34,54.68
15,35890,54.98,50.36192754923538,0.5546528908254101,0,20,8,50,59.82,44.72,48.52,61.63,60.16,50.56,56.33,58.07
16,35084,47.78,49.28979243764107,0.5860607830005932,0,22,8,50,53.6,44.23,49.59,49.54,47.56,46.91,44.28,46.55
17,34681,60.7,51.12426101290865,0.6017316466749723,0,23,8,50,56.79,54.48,65.75,64.01,58.24,55.44,63.99,66.94
18,35890,52.53,48.84712097356041,0.5522270549703066,0,20,8,50,48.93,55.92,49.93,59.63,43.55,57.89,57.6,46.79
19,35487,52.92,49.86529733238605,0.4974731544400667,0,21,8,50,48.56,49.94,55.24,57.96,54.91,48.19,49.81,58.75
20,35084,52.86,49.209774391101554,0.5221848197190988,0,22,8,50,55.32,61.69,48.18,49.73,47.96,58.58,51.06,50.38
21,37502,55.86,50.45191517633331,0.6114828104092909,0,16,8,50,55.6,54.35,58.0,51.64,55.23,57.13,55.89,59.05
22,33875,53.47,48.839234667024144,0.5662484067014103,0,25,8,50,49.07,54.05,56.25,57.72,54.07,55.81,53.77,46.99
23,35890,56.96,50.211097818093286,0.6158297537008176,0,20,8,50,62.79,62.66,50.4,59.35,51.8,55.54,60.53,52.58
24,35084,43.44,49.99985655498783,0.4470085171929209,0,22,8,50,44.15,39.75,38.48,42.6,46.4,50.0,46.25,39.87
25,35084,45.08,50.07581357712089,0.4363717705219977,0,22,8,50,46.72,51.31,41.49,46.31,41.77,47.56,44.77,40.7
26,35084,50.32,50.369708504152825,0.5744658636519456,0,22,8,50,46.95,54.65,51.46,41.18,52.79,59.82,45.06,50.67
27,35890,59.36,51.38671566167067,0.5130335512556694,0,20,8,50,65.43,58.54,57.39,61.48,55.35,63.73,58.77,54.19
28,37099,54.01,51.31466433545342,0.5437032879154851,0,17,8,50,53.89,59.75,56.85,47.98,54.71,50.33,59.19,49.41
29,34681,58.07,51.33938018056103,0.626394335490057,0,23,8,50,55.65,67.92,55.77,50.27,53.96,61.64,65.81,53.51
30,33875,56.02,49.43767752637733,0.5244727305222446,0,25,8,50,54.14,50.07,58.27,57.81,51.93,59.4,55.86,60.69
31,33875,56.38,48.81497984014983,0.523848846558069,0,25,8,50,61.01,51.56,60.9,50.31,54.02,60.46,49.46,63.28
32,33875,52.73,49.69505555605548,0.5264597184766512,0,25,8,50,46.97,53.28,54.82,53.15,47.69,60.08,52.92,52.91
33,35487,46.82,49.85411613315178,0.4329810649335689,0,21,8,50,53.5,42.54,53.8,41.09,44.68,46.65,45.6,46.74
34,37502,61.01,50.9576190217035,0.5617911379485163,0,16,8,50,54.67,53.56,68.45,62.33,62.61,65.05,60.51,60.93
35,35084,52.87,49.43068323430544,0.4851319522811569,0,22,8,50,53.3,49.12,54.63,60.1,56.03,49.94,49.44,50.43
36,35890,54.1,50.52141508004403,0.5531786628431193,0,20,8,50,51.02,55.08,60.91,56.29,47.38,57.82,53.73,50.55
37,33875,53.56,49.23762517066378,0.4146695660818563,0,25,8,50,52.01,54.86,51.21,53.91,55.77,51.8,52.96,55.92
38,33875,51.92,49.203093471282905,0.5312577070487335,0,25,8,50,51.66,50.4,54.63,50.31,44.62,58.03,58.61,47.06
39,33875,61.58,51.00569038009776,0.5124706133640046,0,25,8,50,65.62,55.08,69.02,62.64,54.34,59.05,66.46,60.46
40,36696,43.95,50.21825556197058,0.620916703654064,0,18,8,50,38.96,44.21,39.9,49.16,44.28,50.21,39.01,45.88
41,34681,48.27,50.585321106729886,0.5926310720647988,0,23,8,50,48.22,52.04,47.88,40.08,52.92,51.58,49.96,43.47
42,35487,53.82,50.10003993785706,0.6193262582778919,0,21,8,50,55.74,60.28,62.07,50.75,48.6,43.68,51.74,57.7
43,36293,44.42,49.74713718340068,0.5050704435105746,0,19,8,50,47.6,46.7,44.73,44.68,39.06,46.77,47.29,38.53
44,38711,52.09,48.77341531703309,0.5139152845394831,0,13,8,50,48.2,48.98,50.92,57.23,56.6,54.69,44.8,55.32
45,36293,53.89,48.77248904894459,0.5632184365983028,0,19,8,50,59.55,54.83,46.85,59.08,47.79,55.97,54.02,53.06
46,35084,51.61,49.89763552111819,0.4945056148539963,0,22,8,50,49.02,52.9,53.38,57.49,51.32,49.54,49.43,49.81
47,35084,60.6,51.19356148759352,0.5197700113253769,0,22,8,50,66.18,53.98,65.58,54.72,63.91,58.12,62.74,59.57
48,34278,45.49,48.76595900221246,0.5061623504361988,0,24,8,50,47.01,41.34,41.51,50.54,46.3,46.13,42.83,48.25
49,33875,60.52,49.61148015861418,0.5271367342613784,0,25,8,50,63.53,55.2,72.11,51.26,50.84,67.48,58.77,65.01
50,36293,48.6,50.46145256916218,0.4459299023795496,0,19,8,50,53.47,50.43,43.67,47.65,43.81,48.11,46.82,54.88
51,34681,45.6,49.81188080040049,0.5687910801285786,0,23,8,50,41.42,48.16,47.03,43.68,43.74,47.78,43.41,49.54
52,39114,57.45,50.99361490086184,0.5965624731177663,0,12,8,50,57.71,59.86,53.17,58.61,61.86,61.22,50.48,56.72
53,34681,56.82,49.99667765972394,0.5916878532042209,0,23,8,50,61.49,55.47,53.56,62.0,59.27,61.2,54.29,47.32
54,37905,51.87,50.47333661891435,0.5330469142241127,0,15,8,50,47.48,51.15,50.98,47.44,55.29,56.22,56.31,50.07
55,35084,55.31,51.70178590043229,0.5226975778076788,0,22,8,50,56.45,55.68,51.37,59.8,60.21,56.84,50.98,51.17
56,33875,57.2,48.816351559903055,0.5774906434084426,0,25,8,50,61.59,50.33,64.06,55.68,53.37,52.61,65.45,54.54
57,34278,47.53,50.62273594926973,0.5038634060913102,0,24,8,50,49.51,44.69,49.1,44.98,46.65,44.13,47.85,53.31
58,34681,46.15,49.34060564858483,0.5415461499853254,0,23,8,50,48.82,40.47,40.07,42.27,54.4,50.78,44.27,48.14
59,35487,52.36,48.7965675518893,0.5175631580608034,0,21,8,50,55.9,47.21,59.9,48.73,50.38,54.74,52.1,49.96
60,34681,56.51,51.2031387833832,0.5150625135594796,0,23,8,50,50.77,57.66,50.45,56.19,57.93,60.05,52.28,66.73
61,36696,40.45,49.73035661431528,0.4761571163178262,0,18,8,50,45.21,42.0,41.59,37.0,39.08,40.09,36.26,42.39
62,34681,50.5,50.25779032196724,0.5031046938029711,0,23,8,50,56.91,45.07,46.66,56.79,48.99,55.66,45.33,48.55
63,35890,59.95,50.37133868560229,0.5511981423493791,0,20,8,50,63.65,65.43,56.21,56.51,50.59,60.38,59.77,67.03
64,36696,58.7,50.08471298446924,0.5558056054703938,0,18,8,50,61.0,51.79,65.08,53.82,68.26,58.55,60.67,50.39
65,37099,45.93,50.44771389404832,0.5961825964434216,0,17,8,50,53.78,43.55,46.61,43.38,40.04,40.68,48.38,51.03
66,39920,60.65,49.85797923628431,0.4861719852308002,0,10,8,50,62.4,58.03,55.6,64.32,53.98,58.74,66.52,65.6
67,37502,47.0,50.26962505614628,0.5256852566372001,0,16,8,50,52.13,45.96,42.31,48.23,54.69,40.29,44.84,47.51
68,35890,53.99,49.69832563980026,0.5866648115038849,0,20,8,50,52.24,57.59,61.83,48.32,54.69,57.23,51.84,48.16
69,33875,57.29,49.66973597922221,0.5837667643256621,0,25,8,50,55.37,53.4,60.14,64.9,56.84,48.06,61.57,58.05
70,37502,53.72,48.938583102743664,0.4882025272455977,0,16,8,50,54.63,45.27,48.32,58.24,59.85,58.0,52.54,52.93
71,35487,50.56,49.19188458496313,0.5888249354608613,0,21,8,50,53.61,44.54,50.41,52.03,50.03,49.13,51.0,53.76
72,35487,53.0,49.66764085670636,0.5033954128897205,0,21,8,50,50.5,48.38,58.28,57.85,47.25,59.5,46.63,55.65
73,36696,52.13,50.47750640325293,0.4996028579184714,0,18,8,50,46.93,51.83,51.94,56.33,44.6,53.7,55.78,55.93
74,36293,42.9,50.50335160237402,0.6054054892819838,0,19,8,50,39.65,44.2,41.64,44.13,46.96,40.53,50.18,35.9
75,38308,42.9,50.384004630700254,0.6247826390382106,0,14,8,50,46.0,43.02,39.59,42.65,45.15,42.32,41.2,43.23
76,35487,57.35,49.67351709929587,0.5158903528482005,0,21,8,50,59.73,53.57,60.26,58.0,59.6,55.03,50.77,61.83
77,35487,56.27,50.433615296759065,0.5665948035342016,0,21,8,50,54.01,59.71,47.72,50.37,53.7,59.57,59.85,65.24
78,37502,54.71,50.29596969361869,0.595292445181523,0,16,8,50,52.45,51.29,57.22,59.76,57.27,51.32,51.46,56.92
79,37502,57.23,51.00266357209838,0.5229291607584733,0,16,8,50,54.21,62.9,55.59,62.89,50.2,56.36,62.24,53.46
80,33875,51.08,50.50471212161303,0.5298594928785672,0,25,8,50,53.39,50.18,49.23,48.41,54.62,50.25,48.33,54.26
81,33875,53.01,50.14584380666027,0.5492721782571105,0,25,8,50,51.01,57.68,58.83,53.13,52.26,46.7,45.19,59.28
82,38711,49.93,50.30988322503455,0.534768711105927,0,13,8,50,50.29,48.9,47.0,50.19,49.52,55.12,43.12,55.27
83,37905,50.82,49.579090012055616,0.5118179540606226,0,15,8,50,46.72,47.31,47.76,53.67,51.13,53.81,61.24,44.9
84,33875,46.98,50.80234149468989,0.5145089918455008,0,25,8,50,46.66,46.3,40.13,48.23,51.35,43.14,49.04,51.03
85,37099,60.34,50.547900499458905,0.6243044716946915,0,17,8,50,68.73,54.98,53.03,68.7,57.32,57.48,55.14,67.35
86,35487,46.07,49.69191621850665,0.5362841288518262,0,21,8,50,43.99,43.62,48.62,48.59,46.69,41.12,50.89,45.07
87,37502,57.38,49.70930027606936,0.4859228424536903,0,16,8,50,55.56,51.11,53.5,60.11,55.8,57.25,67.89,57.82
88,39920,49.85,49.001698937140425,0.5572909430409,0,10,8,50,46.04,54.72,53.02,47.08,44.61,54.13,53.81,45.36
89,37099,42.53,49.51538033564205,0.460934942298754,0,17,8,50,49.4,44.81,38.6,35.96,37.77,39.94,53.03,40.75
90,39517,52.47,49.82165942394092,0.5133285999451925,0,11,8,50,54.89,49.67,52.64,45.0,60.71,53.3,45.95,57.64
91,33875,50.23,49.14547656477928,0.5725323448703797,0,25,8,50,50.94,49.99,44.0,55.79,53.0,49.81,46.77,51.57
