Generación,Fitness Global,CPU (%),Memoria (%),Tiempo (s),Goles Favor,Goles Contra,CPUs (configurados),Population Size,Core0 (%),Core1 (%),Core2 (%),Core3 (%),Core4 (%),Core5 (%),Core6 (%),Core7 (%)
1,33875,53.74,46.52174853015915,0.935401101766192,0,25,4,50,47.15,60.47,56.96,50.36,0.0,0.0,0.0,0.0
2,34681,59.16,48.781883115834106,0.9335931389660708,0,23,4,50,58.47,57.5,55.07,65.62,0.0,0.0,0.0,0.0
3,33875,39.03,48.62212618893621,0.8951003618947316,0,25,4,50,40.7,40.17,36.37,38.87,0.0,0.0,0.0,0.0
4,35084,50.25,52.68362471516468,0.8509014628774202,0,22,4,50,55.43,48.58,49.93,47.05,0.0,0.0,0.0,0.0
5,33875,38.2,49.2498078656684,0.9105520277204832,0,25,4,50,36.97,39.59,35.51,40.73,0.0,0.0,0.0,0.0
6,33875,48.34,50.12874021197675,1.0113216495008392,0,25,4,50,42.2,50.34,54.67,46.15,0.0,0.0,0.0,0.0
7,33875,50.32,48.24055073131901,0.8459709245053552,0,25,4,50,57.39,43.71,48.38,51.82,0.0,0.0,0.0,0.0
8,35890,69.87,52.03659671572993,0.9493800184991474,0,20,4,50,75.23,70.51,57.68,76.07,0.0,0.0,0.0,0.0
9,37502,44.02,50.38545238749337,0.9161089184592228,0,16,4,50,41.71,43.13,47.77,43.47,0.0,0.0,0.0,0.0
10,34278,53.83,46.84859190823222,0.896819794621105,0,24,4,50,62.53,48.14,47.23,57.41,0.0,0.0,0.0,0.0
11,33875,25.45,46.41614124775842,0.9184671641640688,0,25,4,50,26.86,25.12,23.73,26.09,0.0,0.0,0.0,0.0
12,33875,60.95,51.27951467413726,0.8196838410718613,0,25,4,50,52.57,65.21,65.32,60.7,0.0,0.0,0.0,0.0
13,33875,47.79,48.93903225586529,0.8438385493038495,0,25,4,50,47.19,49.48,44.72,49.79,0.0,0.0,0.0,0.0
14,35890,46.45,50.74072308824894,0.8569209913675914,0,20,4,50,42.29,52.2,41.26,50.05,0.0,0.0,0.0,0.0
15,36696,32.3,50.32876705616535,0.9216105749410594,0,18,4,50,29.34,31.14,38.07,30.63,0.0,0.0,0.0,0.0
16,35084,41.67,52.28588240118045,0.925219325955166,0,22,4,50,40.77,45.98,42.96,36.98,0.0,0.0,0.0,0.0
