Generación,Fitness Global,CPU (%),Memoria (%),Tiempo (s),Goles Favor,Goles Contra,CPUs (configurados),Population Size,Core0 (%),Core1 (%),Core2 (%),Core3 (%),Core4 (%),Core5 (%),Core6 (%),Core7 (%)
1,33875,59.42,51.11074806092286,0.7605435225327354,0,25,6,100,63.02,68.35,52.01,59.88,59.8,53.49,0.0,0.0
2,33875,67.02,52.12948120879836,0.7162512518921654,0,25,6,100,61.3,62.32,76.45,59.33,75.69,67.03,0.0,0.0
3,33875,62.01,53.08561943449337,0.6923965367935263,0,25,6,100,67.19,63.14,58.46,63.09,57.13,63.06,0.0,0.0
4,33875,57.14,52.274651325979214,0.7734381832364084,0,25,6,100,54.75,51.68,60.62,58.62,63.76,53.4,0.0,0.0
5,33875,46.68,53.85652924298235,0.7025693802315002,0,25,6,100,48.77,51.01,45.36,44.8,45.0,45.13,0.0,0.0
6,33875,67.04,52.2926054519349,0.7425020280860064,0,25,6,100,69.75,71.3,55.11,70.69,67.02,68.4,0.0,0.0
7,33875,50.05,53.39285809956824,0.8086545969399658,0,25,6,100,46.68,49.31,45.01,58.38,47.06,53.88,0.0,0.0
8,33875,60.62,51.51030609697035,0.788238721048524,0,25,6,100,61.18,66.1,55.6,56.35,62.66,61.82,0.0,0.0
9,36696,68.49,53.024337109988274,0.7243547244569192,0,18,6,100,74.81,56.86,71.52,70.07,70.62,67.07,0.0,0.0
10,33875,59.14,53.8294521017438,0.7240872873829385,0,25,6,100,62.12,52.7,60.9,63.9,60.85,54.38,0.0,0.0
11,33875,68.08,52.740512028397646,0.8556071510046891,0,25,6,100,56.41,64.03,64.33,76.11,71.9,75.7,0.0,0.0
12,33875,57.58,53.435976753648895,0.8531401537562597,0,25,6,100,47.33,55.24,67.16,57.8,57.48,60.45,0.0,0.0
13,33875,70.79,53.83409630617705,0.6635016282540408,0,25,6,100,70.96,60.26,62.28,75.37,76.82,79.04,0.0,0.0
14,33875,73.82,53.33419145995537,0.7088970672776168,0,25,6,100,72.79,70.26,70.5,77.39,76.75,75.25,0.0,0.0
15,34278,60.22,52.734475796708765,0.804850521358556,0,24,6,100,62.4,64.54,57.08,51.13,62.21,63.96,0.0,0.0
16,33875,64.56,52.70467154677056,0.6940479873575883,0,25,6,100,60.47,67.35,57.56,61.74,68.61,71.61,0.0,0.0
17,35084,57.82,52.81615861980113,0.7581302257426715,0,22,6,100,55.01,60.6,51.73,59.29,54.77,65.54,0.0,0.0
18,33875,63.18,53.028173926587854,0.7321213573785869,0,25,6,100,72.05,58.14,64.37,62.89,65.41,56.24,0.0,0.0
19,33875,66.45,51.73245172773223,0.7170841488218979,0,25,6,100,65.99,57.65,72.8,71.1,66.66,64.49,0.0,0.0
20,33875,66.5,53.16877477741279,0.6687662267818366,0,25,6,100,69.8,66.68,60.92,60.26,65.77,75.59,0.0,0.0
21,33875,61.25,52.552706234296494,0.8088949384694701,0,25,6,100,54.07,52.81,60.08,63.5,66.81,70.21,0.0,0.0
22,33875,60.72,51.0587401487399,0.6879500124080807,0,25,6,100,57.19,63.4,55.45,59.75,62.82,65.7,0.0,0.0
23,33875,53.59,53.61748985556461,0.715050860565407,0,25,6,100,58.1,50.71,54.3,56.44,49.63,52.34,0.0,0.0
24,33875,74.93,51.92883155438565,0.8200876235620358,0,25,6,100,79.23,75.06,77.01,65.16,79.17,73.95,0.0,0.0
25,33875,68.23,53.51264432688589,0.776111422300634,0,25,6,100,70.36,68.84,62.22,73.46,60.84,73.67,0.0,0.0
26,33875,68.51,53.63910760882263,0.6643067868212841,0,25,6,100,71.16,65.77,69.74,68.92,62.3,73.19,0.0,0.0
27,33875,53.64,53.89313124888727,0.7446665305460242,0,25,6,100,48.18,53.06,52.6,52.25,56.68,59.1,0.0,0.0
28,34681,64.16,53.54910861276058,0.7848670561249071,0,23,6,100,57.29,62.27,60.46,68.52,65.3,71.09,0.0,0.0
