Generación,Mejor Fitness,Prom Fitness,Diversidad,Peor Fitness,CPU (%),Memoria (%),Tiempo (s),Goles Favor,Goles Contra
1,119108.46,95141.56,0.87,-3695.60,0.00,99.09,37.20,0,34
2,161548.73,102352.08,0.86,40146.16,75.80,98.48,50.19,0,21
3,161548.73,104485.30,0.79,25975.16,74.70,98.86,63.90,0,21
4,161548.73,107812.74,0.76,21152.32,82.60,97.52,78.77,0,21
5,177039.97,111356.49,0.75,25975.16,78.56,99.18,93.51,1,38
6,177039.97,111248.54,0.78,40146.16,77.28,98.72,108.64,1,38
7,177039.97,111291.35,0.75,44769.87,74.01,98.86,122.46,1,38
8,177039.97,112990.72,0.74,25975.16,73.86,98.77,136.72,1,38
9,177039.97,111514.97,0.73,25975.16,87.45,98.41,155.57,1,38
10,177039.97,109227.95,0.75,6389.47,81.05,98.90,171.82,1,38
11,177039.97,114868.95,0.76,44769.87,72.94,99.13,186.39,1,38
12,177039.97,116091.77,0.71,35472.30,79.36,99.21,202.43,1,38
13,177039.97,120150.71,0.70,35472.30,81.27,99.29,218.70,1,38
14,177039.97,120965.44,0.67,35472.30,84.69,99.25,236.99,1,38
15,177039.97,119221.68,0.68,25975.16,84.19,99.21,255.66,1,38
16,177039.97,118970.93,0.68,30748.56,86.07,98.93,274.92,1,38
17,177039.97,120026.03,0.65,25975.16,89.66,98.03,297.47,1,38
18,177039.97,120891.75,0.68,30748.56,87.17,99.24,318.53,1,38
19,177039.97,121117.20,0.67,30748.56,86.86,99.17,340.46,1,38
20,177039.97,125810.74,0.67,30748.56,85.34,99.03,360.85,1,38
21,177039.97,123708.09,0.68,6389.47,80.75,99.02,377.35,1,38
22,177039.97,119786.79,0.70,40146.16,79.12,99.19,393.96,1,38
23,177039.97,120847.50,0.71,49343.21,81.59,99.26,410.88,1,38
24,177039.97,116675.79,0.71,21152.32,87.30,99.13,432.53,1,38
25,177039.97,121253.65,0.73,35472.30,86.00,99.24,452.83,1,38
26,177039.97,115957.85,0.75,30748.56,84.19,98.90,471.93,1,38
27,177039.97,123143.13,0.66,30748.56,80.35,98.68,488.29,1,38
28,177039.97,121243.25,0.67,35472.30,84.13,99.21,507.41,1,38
29,177039.97,119216.46,0.69,40146.16,84.93,99.16,527.47,1,38
30,177039.97,123489.03,0.69,35472.30,83.99,99.15,547.43,1,38
31,177039.97,124136.43,0.68,11359.26,84.30,99.22,566.13,1,38
32,177039.97,116986.65,0.73,21152.32,84.19,98.24,585.82,1,38
33,177039.97,117730.49,0.69,16280.29,81.81,99.20,604.01,1,38
34,177039.97,119773.29,0.69,40146.16,81.50,98.00,620.89,1,38
35,177039.97,124961.48,0.70,35472.30,81.52,99.31,638.87,1,38
36,177039.97,123180.95,0.64,35472.30,81.03,99.25,657.96,1,38
37,177039.97,123692.66,0.65,35472.30,78.11,99.21,674.95,1,38
38,177039.97,122500.72,0.69,11359.26,79.96,99.02,692.91,1,38
39,177039.97,125061.07,0.68,16280.29,80.02,99.21,711.27,1,38
40,177039.97,118957.62,0.68,25975.16,82.44,99.28,731.37,1,38
41,177039.97,118409.49,0.71,35472.30,83.37,98.75,751.82,1,38
42,177039.97,118692.33,0.69,40146.16,80.79,99.26,770.70,1,38
43,177039.97,127202.31,0.66,21152.32,80.94,99.22,789.72,1,38
44,177039.97,119278.62,0.70,44769.87,80.84,98.94,808.37,1,38
45,177039.97,114210.99,0.72,11359.26,82.34,99.31,827.49,1,38
46,177039.97,115018.17,0.70,35472.30,83.88,99.27,847.49,1,38
47,177039.97,123324.91,0.70,40146.16,80.79,99.02,866.61,1,38
48,177039.97,121492.06,0.69,11359.26,82.89,98.77,886.45,1,38
49,177039.97,117101.97,0.69,16280.29,81.16,99.22,905.41,1,38
