Generación,Mejor Fitness,Prom Fitness,Diversidad,Peor Fitness,CPU (%),Memoria (%),Tiempo (s),Goles Favor,Goles Contra
28,73838.80,61070.82,0.80,45908.78,73.98,98.79,148.10,0,6
29,73838.80,63083.02,0.75,46735.00,76.46,99.07,153.81,0,6
30,73838.80,63127.48,0.80,42526.66,76.64,99.15,159.68,0,6
31,73838.80,64117.00,0.75,49960.38,76.71,98.88,165.52,0,6
32,73838.80,64117.07,0.70,44233.02,79.44,98.55,171.20,0,6
33,73838.80,63449.87,0.65,45074.76,75.29,99.20,176.67,0,6
34,73838.80,65090.46,0.60,49166.12,69.27,99.05,181.49,0,6
35,73838.80,63705.37,0.65,45074.76,66.69,99.25,185.96,0,6
36,73838.80,64645.52,0.60,42526.66,70.36,98.87,190.70,0,6
37,73838.80,64019.73,0.65,47553.35,66.17,99.21,195.20,0,6
38,73838.80,63762.79,0.75,48363.75,65.56,98.91,199.69,0,6
39,73838.80,65525.31,0.75,46735.00,65.11,99.08,204.12,0,6
40,73838.80,62845.51,0.80,49960.38,65.77,98.45,208.63,0,6
41,73838.80,65247.25,0.70,48363.75,73.78,99.04,213.73,0,6
42,73838.80,67060.21,0.80,45908.78,74.54,98.58,219.21,0,6
43,73838.80,61770.51,0.85,44233.02,77.51,99.28,224.97,0,6
44,73838.80,61558.33,0.85,46735.00,75.93,99.08,230.74,0,6
45,73838.80,59975.09,0.85,49960.38,77.16,98.74,237.23,0,6
46,73838.80,60587.46,0.80,44233.02,76.02,98.86,243.23,0,6
47,73838.80,61504.46,0.80,48363.75,78.37,98.98,249.70,0,6
48,73838.80,63951.94,0.75,50746.44,77.83,99.13,255.68,0,6
49,73838.80,62604.45,0.75,49166.12,71.66,99.04,260.62,0,6
50,73838.80,65000.38,0.70,47553.35,68.08,98.91,265.41,0,6
51,73838.80,62016.61,0.80,36321.08,69.34,99.22,270.28,0,6
52,73838.80,61151.79,0.65,46735.00,71.56,99.19,275.28,0,6
53,73838.80,61842.43,0.75,42526.66,76.95,98.76,280.72,0,6
54,73838.80,62752.62,0.75,44233.02,85.19,97.04,286.85,0,6
55,73838.80,64660.23,0.70,43383.63,72.93,98.21,291.84,0,6
56,73838.80,65355.80,0.70,49960.38,68.19,98.16,296.79,0,6
57,73838.80,63447.02,0.75,47553.35,74.56,98.27,302.47,0,6
58,73838.80,62773.99,0.80,45908.78,73.06,99.00,308.14,0,6
59,73838.80,59426.29,0.85,43383.63,73.30,98.81,313.77,0,6
60,73838.80,62144.91,0.80,44233.02,71.97,98.89,319.08,0,6
61,73838.80,62654.32,0.75,45908.78,68.64,98.60,323.79,0,6
62,73838.80,61710.60,0.80,42526.66,68.66,98.45,328.49,0,6
63,73838.80,62561.95,0.65,39910.93,65.91,98.66,332.81,0,6
64,73838.80,61401.17,0.75,44233.02,91.40,97.82,339.89,0,6
65,73838.80,67199.29,0.65,49960.38,77.36,98.65,345.17,0,6
66,73838.80,61039.72,0.70,41662.17,83.32,98.61,351.49,0,6
67,73838.80,65864.32,0.55,49960.38,76.58,98.06,356.72,0,6
68,73838.80,64537.06,0.65,49960.38,71.53,98.01,361.52,0,6
69,73838.80,67681.64,0.65,49960.38,68.76,98.70,366.10,0,6
70,73838.80,64347.49,0.65,46735.00,70.90,99.31,370.74,0,6
71,73838.80,65686.95,0.60,45074.76,71.17,99.18,375.65,0,6
72,73838.80,62651.41,0.65,47553.35,67.42,99.09,380.15,0,6
73,73838.80,65362.22,0.60,49960.38,66.63,99.07,384.64,0,6
74,73838.80,65640.81,0.55,49960.38,67.33,99.07,389.15,0,6
75,73838.80,63739.05,0.55,47553.35,70.84,98.85,393.81,0,6
76,73838.80,67842.32,0.45,48363.75,71.71,99.20,398.63,0,6
77,73838.80,66160.30,0.60,44233.02,75.03,98.89,403.77,0,6
78,73838.80,65092.83,0.65,48363.75,76.84,99.19,409.53,0,6
79,73838.80,62103.12,0.75,49960.38,78.55,98.82,415.68,0,6
80,73838.80,61851.44,0.60,39910.93,76.63,98.47,421.57,0,6
81,73838.80,59891.81,0.70,45908.78,78.20,98.95,427.55,0,6
82,73838.80,60874.28,0.70,42526.66,77.14,98.90,433.22,0,6
83,73838.80,61032.70,0.75,49166.12,76.12,98.67,439.09,0,6
84,73838.80,61494.03,0.70,47553.35,71.82,98.70,444.59,0,6
85,73838.80,59925.41,0.75,45908.78,70.00,98.92,449.61,0,6
86,73838.80,63302.48,0.65,42526.66,66.81,98.65,454.48,0,6
87,73838.80,66727.77,0.50,50746.44,71.42,99.26,459.41,0,6
88,73838.80,63079.95,0.65,47553.35,76.62,98.81,465.16,0,6
89,73838.80,62528.07,0.65,46735.00,73.22,99.19,470.46,0,6
90,73838.80,62068.14,0.75,46735.00,71.28,99.31,475.57,0,6
91,73838.80,62964.81,0.70,44233.02,75.37,98.93,481.09,0,6
92,73838.80,67404.04,0.55,47553.35,72.42,98.96,486.11,0,6
93,73838.80,61458.28,0.65,43383.63,75.43,99.21,491.91,0,6
94,73838.80,63377.99,0.65,49166.12,66.32,98.58,496.54,0,6
95,73838.80,62957.34,0.65,44233.02,72.55,98.38,501.44,0,6
96,73838.80,65194.40,0.65,47553.35,74.45,99.17,506.99,0,6
97,73838.80,63550.57,0.65,48363.75,69.98,98.83,511.86,0,6
98,73838.80,64791.40,0.55,42526.66,70.50,98.60,517.14,0,6
99,73838.80,63635.81,0.65,45074.76,78.57,99.18,523.94,0,6
100,73838.80,64024.23,0.60,45908.78,85.48,98.99,531.73,0,6
