Generación,Mejor Fitness,Prom Fitness,Diversidad,Peor Fitness,CPU (%),Memoria (%),Tiempo (s),Goles Favor,Goles Contra
1,63984.93,56432.48,0.80,45908.78,0.00,99.18,14.81,0,27
2,63984.93,56903.99,0.85,45074.76,70.03,98.75,19.57,0,27
3,63984.93,56882.80,0.85,45074.76,66.71,98.56,23.73,0,27
4,63984.93,57890.00,0.80,48363.75,68.57,98.87,27.93,0,27
5,63984.93,57987.26,0.80,50746.44,70.89,99.20,32.51,0,27
6,59504.29,58303.26,0.75,47553.35,71.85,98.32,37.24,0,34
7,59504.29,58190.10,0.65,40790.24,65.30,97.99,41.43,0,34
8,59504.29,58843.22,0.70,49166.12,65.31,98.04,45.72,0,34
9,59504.29,58975.53,0.65,45908.78,63.92,98.26,49.73,0,34
10,59504.29,58472.97,0.65,46735.00,73.50,98.47,54.90,0,34
11,59504.29,58346.09,0.75,45908.78,70.23,99.03,59.99,0,34
12,59504.29,58809.67,0.65,45074.76,66.49,99.13,64.40,0,34
13,59504.29,58934.73,0.65,47553.35,67.09,98.90,68.88,0,34
14,65746.84,59750.81,0.65,50746.44,66.66,98.55,73.59,0,24
15,73838.80,61183.99,0.70,53054.53,68.24,98.15,77.93,0,6
16,73838.80,60073.60,0.80,51524.21,66.61,98.54,82.22,0,6
17,73838.80,59924.32,0.75,45908.78,73.59,98.87,87.22,0,6
18,73838.80,59506.14,0.80,45908.78,76.94,99.16,92.38,0,6
19,73838.80,61027.32,0.75,45074.76,77.65,99.20,97.77,0,6
20,73838.80,62170.28,0.70,47553.35,73.12,98.68,102.92,0,6
21,73838.80,59619.00,0.85,44233.02,77.53,99.27,108.62,0,6
22,73838.80,59261.63,0.80,45908.78,77.00,98.88,114.28,0,6
23,73838.80,61622.14,0.80,49960.38,83.63,99.17,122.07,0,6
24,73838.80,64627.09,0.75,50746.44,75.05,99.07,127.39,0,6
25,73838.80,61778.56,0.85,46735.00,74.70,98.75,132.60,0,6
26,73838.80,65689.25,0.80,45908.78,71.12,99.01,137.29,0,6
27,73838.80,68294.42,0.85,49960.38,76.22,99.26,142.49,0,6
