Generación,Fitness Promedio,Mejor Fitness,Cromosoma
1,417.50,880.00,5.42, 8.76, 1.58, 8.11, 8.35, 6.23, 7.45, 2.70, 8.71, 2.25, 5.78, 9.23, 1.76, 1.84, 6.38, 7.56, 4.23, 0.33, 0.08, 4.39, 4.43, 3.23, 3.14, 6.61, 7.02, 2.78, 0.58, 5.44, 2.25, 7.00, 7.98, 0.91, 4.92, 5.48, 4.86, 5.85, 8.23, 9.11, 1.52, 5.64, 5.66, 0.51, 3.54, 7.55, 0.62, 5.08, 1.74, 2.39, 0.30, 4.45
2,607.50,885.00,0.96, 5.33, 5.40, 8.17, 3.10, 2.19, 7.45, 8.05, 0.94, 3.00, 5.63, 5.54, 2.12, 1.87, 3.00, 8.94, 4.23, 0.23, 7.40, 4.39, 4.92, 0.55, 1.22, 6.61, 9.94, 2.70, 0.58, 8.51, 2.36, 3.64, 9.32, 6.50, 1.14, 4.66, 4.86, 0.04, 1.50, 0.47, 8.04, 4.62, 1.28, 4.83, 0.32, 0.17, 0.62, 5.08, 1.28, 9.61, 9.38, 4.45
3,576.00,880.00,5.42, 8.76, 1.58, 8.11, 8.35, 6.23, 7.45, 2.70, 8.71, 2.25, 5.78, 9.23, 1.76, 1.84, 6.38, 7.56, 4.23, 0.33, 0.08, 4.39, 4.43, 3.23, 3.14, 6.61, 7.02, 2.78, 0.58, 5.44, 2.25, 7.00, 7.98, 0.91, 4.92, 5.48, 4.86, 5.85, 8.23, 9.11, 1.52, 5.64, 5.66, 0.51, 3.54, 7.55, 0.62, 5.08, 1.74, 2.39, 0.30, 4.45
4,668.59,962.96,5.47, 7.25, 1.58, 2.98, 8.35, 3.01, 7.45, 8.05, 0.94, 3.00, 5.63, 5.54, 2.12, 1.87, 3.00, 8.94, 4.23, 0.23, 7.40, 4.39, 4.92, 0.55, 1.22, 6.61, 9.94, 2.70, 0.58, 8.51, 2.36, 3.64, 7.98, 9.94, 4.92, 4.19, 5.88, 5.85, 1.50, 0.47, 8.04, 4.62, 1.28, 4.83, 0.32, 0.17, 0.62, 5.08, 1.28, 9.61, 9.38, 4.45
5,754.18,962.96,5.47, 7.25, 1.58, 2.98, 8.35, 3.01, 7.45, 8.05, 0.94, 3.00, 5.63, 5.54, 2.12, 1.87, 3.00, 8.94, 4.23, 0.23, 7.40, 4.39, 4.92, 0.55, 1.22, 6.61, 9.94, 2.70, 0.58, 8.51, 2.36, 3.64, 7.98, 9.94, 4.92, 4.19, 5.88, 5.85, 1.50, 0.47, 8.04, 4.62, 1.28, 4.83, 0.32, 0.17, 0.62, 5.08, 1.28, 9.61, 9.38, 4.45
6,739.09,945.00,0.37, 5.73, 9.29, 4.31, 7.99, 6.23, 6.93, 8.92, 8.71, 9.59, 5.78, 7.80, 1.76, 1.84, 6.38, 2.89, 4.23, 6.42, 7.40, 3.44, 7.15, 3.23, 3.14, 6.61, 7.02, 2.78, 0.58, 5.44, 2.25, 7.00, 7.98, 0.91, 4.92, 5.48, 4.86, 5.85, 8.23, 9.11, 1.52, 5.64, 5.66, 0.51, 3.54, 7.55, 0.62, 5.08, 1.74, 4.65, 1.80, 5.88
7,644.80,925.00,3.90, 6.85, 2.65, 2.68, 3.04, 9.21, 6.04, 3.63, 2.20, 2.36, 3.12, 5.44, 9.04, 6.98, 9.76, 7.33, 4.87, 2.78, 5.90, 9.16, 3.52, 0.26, 3.64, 4.23, 5.79, 5.56, 1.86, 2.84, 7.18, 1.88, 1.06, 9.05, 3.95, 7.73, 4.06, 4.47, 7.93, 4.70, 6.55, 0.84, 0.05, 8.30, 6.95, 6.09, 0.72, 6.10, 8.18, 2.44, 8.66, 5.09
8,675.45,976.59,4.11, 8.43, 0.86, 8.58, 3.04, 3.01, 7.45, 4.12, 4.15, 2.61, 8.99, 9.82, 2.12, 3.92, 3.00, 8.94, 4.23, 0.23, 5.07, 0.79, 4.92, 0.55, 6.85, 2.11, 9.27, 4.72, 0.58, 8.51, 2.28, 6.56, 7.98, 6.02, 4.92, 4.19, 0.39, 2.87, 4.92, 7.13, 2.36, 5.96, 4.66, 8.30, 1.91, 6.09, 2.79, 6.10, 2.17, 2.44, 8.66, 3.68
9,485.80,800.00,0.82, 3.98, 9.24, 5.75, 5.42, 5.17, 9.81, 3.44, 2.20, 2.36, 3.12, 5.44, 9.04, 6.98, 9.76, 7.33, 4.87, 2.78, 5.90, 9.16, 3.52, 0.26, 3.64, 4.23, 5.79, 5.56, 1.86, 2.84, 7.18, 1.88, 1.06, 9.05, 3.95, 7.73, 4.06, 4.47, 7.93, 4.70, 6.55, 0.84, 0.05, 8.30, 6.95, 6.09, 0.72, 6.10, 8.18, 2.44, 8.66, 5.09
10,510.59,922.96,0.82, 3.98, 9.24, 5.75, 5.42, 5.17, 9.81, 3.44, 2.20, 2.36, 3.12, 5.44, 2.66, 1.84, 6.38, 1.83, 9.40, 6.42, 4.46, 2.43, 8.58, 0.03, 0.88, 6.33, 7.98, 2.78, 0.58, 8.46, 2.87, 1.61, 4.27, 5.51, 1.99, 2.53, 9.78, 6.92, 8.23, 8.56, 1.52, 4.58, 2.32, 8.30, 6.01, 2.77, 0.72, 6.10, 8.18, 6.92, 2.97, 7.94
