Generación,Mejor Fitness,Prom Fitness,Diversidad,Peor Fitness,CPU (%),Memoria (%),Tiempo (s),Goles Favor,Goles Contra
1,58288.43,30624.64,0.88,-21031.13,0.00,98.76,22.16,0,30
2,69745.50,34285.65,0.86,-24704.62,77.98,99.10,31.32,0,25
3,69745.50,41259.52,0.82,-6782.41,74.93,99.01,40.26,0,25
4,69745.50,44390.72,0.82,72.14,74.43,99.03,49.14,0,25
5,69745.50,45877.86,0.74,-17401.99,73.60,99.12,57.94,0,25
6,69745.50,47404.82,0.68,-21031.13,75.11,99.08,66.69,0,25
7,71878.71,52673.34,0.58,-10277.43,74.71,98.72,75.50,0,24
8,71878.71,46196.08,0.66,-10277.43,75.72,99.24,84.06,0,24
9,71878.71,52299.56,0.64,3431.27,73.53,99.24,92.57,0,24
10,71878.71,51761.40,0.64,3431.27,72.60,98.99,101.34,0,24
11,71878.71,54718.80,0.62,-10277.43,72.34,98.93,109.81,0,24
12,71878.71,55590.46,0.58,72.14,73.16,99.12,118.67,0,24
13,71878.71,53288.92,0.62,-17401.99,73.01,99.23,127.34,0,24
14,71878.71,48503.17,0.64,-6782.41,73.62,98.86,136.23,0,24
15,71878.71,48428.52,0.70,-6782.41,74.27,98.98,145.27,0,24
16,71878.71,52462.39,0.66,-6782.41,79.57,98.93,154.39,0,24
17,71878.71,50324.67,0.66,-6782.41,73.99,99.17,163.49,0,24
18,71878.71,47751.73,0.62,-13817.36,72.57,99.27,172.54,0,24
19,71878.71,52425.24,0.60,72.14,73.18,98.88,181.45,0,24
20,71878.71,47919.00,0.60,72.14,74.10,98.96,190.57,0,24
21,73958.08,54631.92,0.58,-3332.48,76.74,98.53,199.69,0,23
22,73958.08,57449.07,0.62,10012.15,75.27,99.17,208.85,0,23
23,73958.08,54294.70,0.62,-6782.41,77.67,98.17,217.87,0,23
24,73958.08,53279.55,0.70,-13817.36,74.32,99.21,227.08,0,23
25,73958.08,49004.84,0.74,-6782.41,72.99,98.89,236.02,0,23
26,73958.08,62048.44,0.58,-6782.41,73.43,98.93,244.66,0,23
27,73958.08,54491.77,0.66,-10277.43,72.47,99.15,253.65,0,23
28,73958.08,57742.84,0.64,13233.47,76.16,99.14,262.73,0,23
29,77953.16,53759.81,0.72,-10277.43,73.86,99.25,271.84,0,21
30,77953.16,53269.81,0.70,-6782.41,73.18,98.99,280.75,0,21
31,77953.16,53018.59,0.76,-6782.41,72.46,99.02,289.70,0,21
32,77953.16,55799.53,0.74,3431.27,73.39,99.16,298.65,0,21
33,77953.16,55951.84,0.56,-10277.43,73.59,99.28,307.47,0,21
34,77953.16,57544.27,0.56,-21031.13,74.56,98.81,316.39,0,21
35,77953.16,54401.24,0.68,72.14,74.10,98.91,325.14,0,21
36,77953.16,57221.47,0.68,-6782.41,72.17,99.21,333.77,0,21
37,77953.16,56423.49,0.66,-3332.48,74.17,99.18,342.61,0,21
38,77953.16,56592.71,0.62,-3332.48,72.34,99.03,351.27,0,21
39,79867.74,57394.75,0.66,-17401.99,72.60,98.87,359.85,0,20
40,79867.74,54094.40,0.68,-43730.90,71.94,99.26,368.26,0,20
41,79867.74,58424.80,0.64,-3332.48,75.39,99.13,377.20,0,20
42,79867.74,56905.96,0.68,-3332.48,72.21,99.00,385.68,0,20
43,79867.74,61708.30,0.62,-10277.43,72.83,99.22,394.12,0,20
44,79867.74,60890.12,0.66,72.14,72.31,99.05,402.68,0,20
45,79867.74,56202.97,0.62,-3332.48,71.66,99.12,411.11,0,20
46,79867.74,59731.79,0.66,-6782.41,73.62,98.92,419.83,0,20
47,79867.74,58227.96,0.58,72.14,73.26,99.09,428.66,0,20
48,79867.74,59221.58,0.66,72.14,72.66,99.04,437.39,0,20
49,81726.21,54058.54,0.74,-21031.13,72.78,98.88,446.24,0,19
50,81726.21,57078.89,0.72,-10277.43,73.37,99.05,454.97,0,19
51,81726.21,62234.70,0.68,6744.68,71.81,99.26,463.58,0,19
52,81726.21,61775.32,0.62,-3332.48,73.61,99.19,472.09,0,19
53,81726.21,60593.96,0.68,-6782.41,72.37,98.90,480.86,0,19
54,81726.21,60080.82,0.64,10012.15,72.43,99.22,489.16,0,19
55,81726.21,53755.01,0.72,3431.27,73.35,99.25,498.06,0,19
