Generación,Mejor Fitness,Promedio Fitness,Diversidad,Convergencia,Goles Favor Mejor,Goles Contra Mejor,Goles Favor Total,Goles Contra Total,CPU,Memoria,Tiempo,OS,Arquitectura,Versión OS
268,7340.0000,6156.3000,0.8000,0.2000,0,39,0,3900,13.84,296,3119.17,Mac OS X,aarch64,15.2
269,8955.0000,6159.1500,0.8400,0.1600,0,42,0,4200,13.53,150,3133.98,Mac OS X,aarch64,15.2
270,8955.0000,6178.1500,0.8600,0.1400,0,38,0,3800,14.39,137,3146.27,Mac OS X,aarch64,15.2
271,7625.0000,6195.2500,0.9000,0.1000,0,34,0,3400,14.29,125,3159.97,Mac OS X,aarch64,15.2
272,7625.0000,6232.3000,0.8900,0.1100,0,29,0,2900,13.74,279,3178.56,Mac OS X,aarch64,15.2
273,7625.0000,6222.8000,0.9400,0.0600,0,30,0,3000,13.69,367,3191.66,Mac OS X,aarch64,15.2
274,7625.0000,6156.3000,0.8700,0.1300,0,34,0,3400,13.53,165,3207.03,Mac OS X,aarch64,15.2
275,7625.0000,6202.8500,0.9400,0.0600,0,38,0,3800,12.91,331,3222.30,Mac OS X,aarch64,15.2
276,7625.0000,6163.9000,0.9100,0.0900,0,33,0,3300,13.70,181,3238.41,Mac OS X,aarch64,15.2
277,7625.0000,6129.7000,0.9000,0.1000,0,40,0,4000,14.41,359,3252.00,Mac OS X,aarch64,15.2
278,7625.0000,6154.4000,0.8600,0.1400,0,36,0,3600,14.44,360,3263.53,Mac OS X,aarch64,15.2
279,7530.0000,6202.8500,0.9100,0.0900,0,46,0,4600,15.00,111,3277.09,Mac OS X,aarch64,15.2
280,7340.0000,6175.3000,0.8900,0.1100,0,36,0,3600,14.45,144,3288.98,Mac OS X,aarch64,15.2
281,7720.0000,6195.2500,0.8700,0.1300,0,32,0,3200,13.83,210,3301.36,Mac OS X,aarch64,15.2
282,7530.0000,6087.9000,0.8700,0.1300,0,38,0,3800,14.86,255,3313.24,Mac OS X,aarch64,15.2
283,7625.0000,6161.0500,0.8700,0.1300,0,44,0,4400,14.40,255,3325.19,Mac OS X,aarch64,15.2
284,7530.0000,6168.6500,0.8600,0.1400,0,37,0,3700,14.45,300,3337.24,Mac OS X,aarch64,15.2
285,7530.0000,6035.6500,0.8800,0.1200,0,33,0,3300,13.45,339,3348.82,Mac OS X,aarch64,15.2
286,7530.0000,6160.1000,0.9000,0.1000,0,39,0,3900,15.79,84,3361.79,Mac OS X,aarch64,15.2
287,7435.0000,6066.0500,0.8400,0.1600,0,27,0,2700,13.92,103,3373.51,Mac OS X,aarch64,15.2
288,7435.0000,6068.9000,0.8500,0.1500,0,32,0,3200,13.82,112,3384.73,Mac OS X,aarch64,15.2
289,7435.0000,6153.4500,0.8600,0.1400,0,39,0,3900,14.25,105,3396.64,Mac OS X,aarch64,15.2
290,7435.0000,6093.6000,0.8500,0.1500,0,31,0,3100,14.63,187,3408.40,Mac OS X,aarch64,15.2
291,7625.0000,6142.0500,0.8600,0.1400,0,26,0,2600,13.78,271,3421.30,Mac OS X,aarch64,15.2
292,7720.0000,6151.5500,0.8500,0.1500,0,33,0,3300,14.40,162,3432.00,Mac OS X,aarch64,15.2
293,7530.0000,6105.0000,0.8600,0.1400,0,41,0,4100,14.29,92,3444.99,Mac OS X,aarch64,15.2
294,7720.0000,6124.9500,0.8700,0.1300,0,57,0,5700,14.42,182,3457.81,Mac OS X,aarch64,15.2
295,7720.0000,5995.7500,0.8800,0.1200,0,39,0,3900,16.38,80,3470.74,Mac OS X,aarch64,15.2
296,7720.0000,6007.1000,0.8300,0.1700,0,54,0,5400,13.18,345,3484.23,Mac OS X,aarch64,15.2
297,7435.0000,5955.8500,0.8400,0.1600,0,39,0,3900,26.77,306,3505.90,Mac OS X,aarch64,15.2
298,7435.0000,6086.0000,0.8800,0.1200,0,39,0,3900,13.32,284,3529.12,Mac OS X,aarch64,15.2
299,7340.0000,6098.3500,0.8500,0.1500,0,38,0,3800,15.76,121,3553.82,Mac OS X,aarch64,15.2
300,7530.0000,6066.0500,0.8600,0.1400,0,40,0,4000,11.13,155,3572.12,Mac OS X,aarch64,15.2
301,7530.0000,6062.2500,0.8400,0.1600,0,35,0,3500,14.94,214,3586.62,Mac OS X,aarch64,15.2
302,7430.0000,6070.7500,0.8600,0.1400,0,36,0,3600,12.86,62,3606.36,Mac OS X,aarch64,15.2
303,7435.0000,6144.8000,0.8800,0.1200,0,35,0,3500,13.90,287,3619.00,Mac OS X,aarch64,15.2
304,7530.0000,5973.9000,0.8600,0.1400,0,51,0,5100,13.89,154,3633.27,Mac OS X,aarch64,15.2
305,7530.0000,5948.2500,0.8400,0.1600,0,41,0,4100,13.42,315,3648.45,Mac OS X,aarch64,15.2
306,7720.0000,6081.2500,0.8800,0.1200,0,53,0,5300,12.65,201,3669.41,Mac OS X,aarch64,15.2
307,7530.0000,6101.2000,0.8700,0.1300,0,36,0,3600,14.02,81,3687.26,Mac OS X,aarch64,15.2
308,7340.0000,6014.7500,0.8500,0.1500,0,33,0,3300,14.12,366,3703.01,Mac OS X,aarch64,15.2
309,7340.0000,5935.9000,0.8700,0.1300,0,43,0,4300,13.18,321,3721.35,Mac OS X,aarch64,15.2
310,7340.0000,6032.8000,0.8800,0.1200,0,33,0,3300,14.89,162,3737.95,Mac OS X,aarch64,15.2
311,7625.0000,6035.6500,0.8700,0.1300,0,37,0,3700,13.25,356,3749.67,Mac OS X,aarch64,15.2
312,7720.0000,6177.2000,0.8600,0.1400,0,38,0,3800,14.40,90,3762.86,Mac OS X,aarch64,15.2
313,7625.0000,6161.0500,0.8800,0.1200,0,25,0,2500,13.68,382,3774.69,Mac OS X,aarch64,15.2
314,7625.0000,6029.9000,0.8700,0.1300,0,34,0,3400,13.84,251,3792.50,Mac OS X,aarch64,15.2
315,7525.0000,6020.4000,0.8700,0.1300,0,36,0,3600,13.84,342,3806.45,Mac OS X,aarch64,15.2
316,7530.0000,5998.5500,0.8700,0.1300,0,53,0,5300,14.01,208,3821.43,Mac OS X,aarch64,15.2
317,7625.0000,6070.7500,0.8700,0.1300,0,39,0,3900,13.71,149,3836.36,Mac OS X,aarch64,15.2
318,7530.0000,6027.0500,0.8300,0.1700,0,32,0,3200,14.19,272,3851.02,Mac OS X,aarch64,15.2
319,7530.0000,6044.1500,0.8600,0.1400,0,40,0,4000,14.72,243,3864.82,Mac OS X,aarch64,15.2
320,7720.0000,6028.0000,0.9100,0.0900,0,33,0,3300,14.02,68,3879.58,Mac OS X,aarch64,15.2
321,7815.0000,5964.4000,0.8600,0.1400,0,44,0,4400,13.95,257,3894.01,Mac OS X,aarch64,15.2
322,7815.0000,6009.0500,0.8600,0.1400,0,34,0,3400,13.51,149,3906.96,Mac OS X,aarch64,15.2
323,7625.0000,6043.2500,0.8900,0.1100,0,36,0,3600,14.00,143,3918.95,Mac OS X,aarch64,15.2
324,7530.0000,6055.6000,0.8700,0.1300,0,34,0,3400,13.80,251,3931.00,Mac OS X,aarch64,15.2
