Generación,Mejor Fitness Generación,Fitness Global,Fitness Promedio,Diversidad,Peor Fitness,CPU (%),Memoria (%),Tiempo (s),Goles Favor,Goles Contra,OS,OS Version,Java Version,OS Arquitectura,CPUs (configurados),Population Size,Mutation Rate,Crossover Rate
1,32.50,32.50,28.90,12.25,28.00,18.48,83.535,5.769,0,30,Mac OS X,15.4,17.0.8.1,aarch64,8,10,0.40,0.80
2,32.50,32.50,29.35,12.27,28.00,11.59,83.439,8.691,0,30,Mac OS X,15.4,17.0.8.1,aarch64,8,10,0.40,0.80
3,34.75,34.75,30.25,12.50,28.00,79.13,85.559,12.530,0,29,Mac OS X,15.4,17.0.8.1,aarch64,8,10,0.40,0.80
4,34.75,34.75,29.13,12.12,28.00,56.11,85.510,15.209,0,29,Mac OS X,15.4,17.0.8.1,aarch64,8,10,0.40,0.80
5,34.75,34.75,29.13,12.24,25.75,36.26,84.023,17.675,0,29,Mac OS X,15.4,17.0.8.1,aarch64,8,10,0.40,0.80
6,32.50,34.75,28.90,12.00,28.00,35.24,84.600,20.097,0,29,Mac OS X,15.4,17.0.8.1,aarch64,8,10,0.40,0.80
7,32.50,34.75,29.13,11.80,28.00,28.62,83.725,22.389,0,29,Mac OS X,15.4,17.0.8.1,aarch64,8,10,0.40,0.80
8,32.50,34.75,29.80,11.79,28.00,27.12,82.890,24.735,0,29,Mac OS X,15.4,17.0.8.1,aarch64,8,10,0.40,0.80
9,34.75,34.75,31.38,11.62,28.00,13.63,82.814,27.117,0,29,Mac OS X,15.4,17.0.8.1,aarch64,8,10,0.40,0.80
10,34.75,34.75,31.15,10.79,28.00,43.35,82.534,29.384,0,29,Mac OS X,15.4,17.0.8.1,aarch64,8,10,0.40,0.80
11,34.75,34.75,30.93,10.92,28.00,15.15,82.758,31.763,0,29,Mac OS X,15.4,17.0.8.1,aarch64,8,10,0.40,0.80
12,34.75,34.75,32.05,9.98,28.00,14.30,82.640,34.076,0,29,Mac OS X,15.4,17.0.8.1,aarch64,8,10,0.40,0.80
13,34.75,34.75,31.38,10.59,28.00,17.64,82.522,36.366,0,29,Mac OS X,15.4,17.0.8.1,aarch64,8,10,0.40,0.80
14,34.75,34.75,31.83,10.92,28.00,10.88,82.344,38.771,0,29,Mac OS X,15.4,17.0.8.1,aarch64,8,10,0.40,0.80
15,34.75,34.75,31.15,11.43,28.00,20.29,82.634,40.763,0,29,Mac OS X,15.4,17.0.8.1,aarch64,8,10,0.40,0.80
16,34.75,34.75,31.38,10.98,28.00,9.30,82.766,42.712,0,29,Mac OS X,15.4,17.0.8.1,aarch64,8,10,0.40,0.80
17,34.75,34.75,32.28,11.29,28.00,13.70,82.513,45.038,0,29,Mac OS X,15.4,17.0.8.1,aarch64,8,10,0.40,0.80
18,34.75,34.75,31.15,11.90,28.00,10.55,82.439,47.321,0,29,Mac OS X,15.4,17.0.8.1,aarch64,8,10,0.40,0.80
19,34.75,34.75,32.73,11.99,28.00,13.75,82.740,49.614,0,29,Mac OS X,15.4,17.0.8.1,aarch64,8,10,0.40,0.80
20,34.75,34.75,32.73,11.52,30.25,8.77,82.973,51.977,0,29,Mac OS X,15.4,17.0.8.1,aarch64,8,10,0.40,0.80
21,34.75,34.75,30.70,12.18,28.00,18.68,82.837,54.306,0,29,Mac OS X,15.4,17.0.8.1,aarch64,8,10,0.40,0.80
22,34.75,34.75,31.83,12.25,28.00,19.62,82.631,56.288,0,29,Mac OS X,15.4,17.0.8.1,aarch64,8,10,0.40,0.80
23,34.75,34.75,31.83,11.78,25.75,10.37,82.806,58.591,0,29,Mac OS X,15.4,17.0.8.1,aarch64,8,10,0.40,0.80
24,34.75,34.75,32.50,11.41,28.00,12.30,82.762,60.943,0,29,Mac OS X,15.4,17.0.8.1,aarch64,8,10,0.40,0.80
25,34.75,34.75,32.73,11.65,28.00,9.38,82.899,63.317,0,29,Mac OS X,15.4,17.0.8.1,aarch64,8,10,0.40,0.80
26,37.00,37.00,30.70,11.61,28.00,9.16,82.916,65.342,0,28,Mac OS X,15.4,17.0.8.1,aarch64,8,10,0.40,0.80
27,37.00,37.00,30.70,12.25,28.00,8.89,82.883,67.643,0,28,Mac OS X,15.4,17.0.8.1,aarch64,8,10,0.40,0.80
28,32.50,37.00,31.60,10.18,28.00,12.08,82.942,70.013,0,28,Mac OS X,15.4,17.0.8.1,aarch64,8,10,0.40,0.80
