Generación,Mejor Fitness Generación,Fitness Global,Fitness Promedio,Diversidad,Peor Fitness,CPU (%),Memoria (%),Tiempo (s),Goles Favor,Goles Contra,Chromosoma,OS,OS Version,Java Version,OS Arquitectura,CPUs (configurados),Population Size,Mutation Rate,Crossover Rate,Core0 (%),Core1 (%),Core2 (%),Core3 (%),Core4 (%),Core5 (%),Core6 (%),Core7 (%)
1,44351.60,44351.60,42512.61,257.57,39430.00,0.00,83.687,231.084,2,13,"76.99",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,44954.80,44954.80,43104.14,256.86,39279.20,35.88,84.241,307.226,2,9,"85.87",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,36.86,27.23,23.58,21.54,45.72,44.92,44.07,43.29
3,44954.80,44954.80,43265.33,251.15,39128.40,36.20,84.662,384.692,2,9,"85.87",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,37.98,26.97,23.83,21.75,46.14,45.39,44.10,43.30
4,44954.80,44954.80,43556.68,234.49,39580.80,36.07,84.309,460.895,2,9,"85.87",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,39.15,26.20,23.36,21.22,45.95,45.09,43.95,43.44
5,44954.80,44954.80,43751.29,204.29,39430.00,35.62,83.998,537.557,2,9,"85.87",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,36.95,26.76,23.27,20.30,45.89,45.17,43.77,42.72
6,44954.80,44954.80,43755.47,212.30,39580.80,35.25,84.181,614.262,2,9,"41.72",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,36.02,26.27,22.97,20.11,45.24,44.92,43.65,42.71
7,44954.80,44954.80,43987.07,206.57,39279.20,35.88,83.638,691.206,2,9,"85.87",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,36.94,26.83,23.85,21.04,45.95,45.08,44.04,43.30
8,44954.80,44954.80,44039.10,198.01,38826.80,36.54,84.217,768.595,2,9,"85.87",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,39.00,27.56,24.01,21.35,46.73,45.81,44.14,43.56
9,44954.80,44954.80,44070.37,200.49,39580.80,35.26,83.835,844.224,2,9,"48.38",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,36.71,26.00,22.48,19.55,45.86,44.73,43.86,42.76
10,44954.80,44954.80,44073.80,211.98,39279.20,35.30,84.057,920.063,2,9,"85.87",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,35.76,26.71,21.90,19.62,45.82,45.07,44.27,43.19
11,44954.80,44954.80,44025.79,223.55,39580.80,35.80,82.938,997.553,2,9,"85.87",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,36.11,27.02,23.51,21.18,46.15,44.87,44.16,43.20
12,44954.80,44954.80,44026.86,225.47,39128.40,36.93,83.286,1072.999,2,9,"29.75",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,39.06,29.22,25.40,23.21,45.99,44.82,44.07,43.59
13,44954.80,44954.80,43952.99,232.49,39430.00,37.09,83.132,1150.385,2,9,"85.87",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,39.51,29.81,26.15,23.03,45.95,44.85,44.03,43.25
14,44954.80,44954.80,43941.06,232.63,39279.20,35.26,82.912,1227.753,2,9,"85.87",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,35.85,26.00,22.69,19.67,45.63,44.79,44.02,43.28
15,44954.80,44954.80,44033.39,234.12,39279.20,35.88,83.415,1303.685,2,9,"55.67",Mac OS X,15.4,17.0.8.1,aarch64,1,400,0.45,0.85,36.67,27.05,23.52,21.50,45.94,44.93,43.98,43.35
